associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
HARS1	Patient1	0	643	0.0	374490.39021549217	0	1717	16.0	12.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.3346890359033825	-8.156993122569867	0.17455125567668411						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient15	0	988	0.0	383987.56315584923	0	2573	16.0	9.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.4363238396291408	-7.491521747668055	0.24011743879490297						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient16	0	647	0.0	509047.9937057435	0	1271	16.0	1.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	1.7746686705193588	1.305216789842249	1.1068242447466896						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient17	0	543	0.0	442542.7872860636	0	1227	16.0	5.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	1.0629575493621737	-3.7202278118402057	0.6116876642243602	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient18	0	594	0.0	428262.4369142033	0	1387	16.0	6.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.9101351656597962	-4.59181776752498	0.5258134571679559	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient19	0	582	0.0	375968.992248062	0	1548	16.0	11.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.350512421274218	-8.05228510117596	0.18486771039372177						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient20	0	781	0.0	449367.08860759495	0	1738	16.0	4.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	1.135988390196077	-3.313596175372613	0.6517514225524008	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient21	0	461	0.0	347138.5542168675	0	1328	16.0	18.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.04198103735293877	-10.172583262986402	-0.025063171334450827						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient22	0	738	0.0	350427.35042735044	0	2106	16.0	16.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.07717636963188168	-9.921820645470376	0.00031343824426250197						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient23	0	545	0.0	470232.9594477998	0	1159	16.0	3.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	1.3592862811294508	-2.107539897211028	0.7705792335855762	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient24	0	805	0.0	484647.80252859724	0	1661	16.0	2.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	1.5135479499918665	-1.3052167898422455	0.849628860303903	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient25	0	738	0.0	379239.4655704008	0	1946	16.0	10.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.38551166960776884	-7.822139980502664	0.2075429714116075						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient26	0	547	0.0	372362.15112321306	0	1469	16.0	13.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.31191350430217096	-8.3084336128303	0.15963044121281122						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient27	0	534	0.0	371091.03544127865	0	1439	16.0	14.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.29831055175434895	-8.399296628291431	0.1506780785191084						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient3	0	838	0.0	415056.9588905399	0	2019	16.0	7.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.7688156197835069	-5.4240661302141495	0.44381541697281285						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient5	0	559	0.0	350250.62656641606	0	1596	16.0	17.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.07528514420800851	-9.935420935931983	-0.0016965335633111563						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient6	0	657	0.0	410112.3595505618	0	1602	16.0	8.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.715900569528321	-5.742521533261907	0.41243930365119						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient7	0	605	0.0	350521.436848204	0	1726	16.0	15.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.07818324346441732	-9.914582908673976	0.0013830953190486542						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient9	0	592	0.0	343786.29500580725	0	1722	16.0	19.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	0.0061065503773269	-10.430440020561859	-0.05046874702575249						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
SRSF6	Patient10	0	248	0.0	177905.30846484934	0	1394	16.0	3.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	1.41679203767839	-5.074183755377343	0.9892992853574484						
SRSF6	Patient11	0	299	0.0	218727.139722019	0	1367	16.0	2.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	2.0460954039338786	-0.32144680302643214	1.1853773477998968	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient12	0	223	0.0	124511.44611948633	0	1791	16.0	10.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	0.5936800832038414	-13.284475288015855	0.6505769718889752	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient13	0	387	0.0	174481.51487826873	0	2218	16.0	5.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	1.3640113376694771	-5.521279271525955	0.9708539930107378	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient15	0	294	0.0	114263.505635445	0	2573	16.0	11.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	0.43569933503100094	-15.260590491785058	0.5690507178162627	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient21	0	122	0.0	91867.46987951807	0	1328	16.0	12.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	0.09044533103509358	-20.27988362785246	0.3619756613135118	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient25	0	346	0.0	177800.61664953752	0	1946	16.0	4.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	1.4151781240011696	-5.087726927596304	0.9887405506758025	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient26	0	201	0.0	136827.7739959156	0	1469	16.0	9.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	0.7835467881959645	-11.11429228282294	0.740109652336033						
SRSF6	Patient28	0	165	0.0	137271.2146422629	0	1202	16.0	8.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	0.790382804192475	-11.039848835699326	0.7431808778256564						
SRSF6	Patient5	0	354	0.0	221804.51127819548	0	1596	16.0	1.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	2.093535712706911	0.32144680302643086	1.2119004509918652	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient7	0	262	0.0	151796.06025492467	0	1726	16.0	7.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	1.0142956948417385	-8.725777794499464	0.8386497772538499	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient8	0	217	0.0	159676.23252391466	0	1359	16.0	6.0	0.0	67276.64155005381	0.0	86000.43620467439	86000.43620467439	64868.28681700796	1.1357752753217933	-7.561363875815424	0.8866886288346534						
VTA1	Patient1	0	979	0.0	570180.5474665114	0	1717	16.0	15.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.05953070738267558	-11.41761768912569	0.22961466905003847	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient11	0	810	0.0	592538.405267008	0	1367	16.0	10.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.3038228977140222	-10.359804312430743	0.4456328758542268						
VTA1	Patient12	0	1046	0.0	584031.2674483529	0	1791	16.0	13.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.21087001512060444	-10.757520691764368	0.3644144105057025						
VTA1	Patient13	0	1281	0.0	577547.3399458972	0	2218	16.0	14.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.14002365471977185	-11.064560111301134	0.3017132703161526						
VTA1	Patient14	0	1194	0.0	699063.2318501171	0	1708	16.0	2.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	1.4677619227701946	-5.812960621121684	1.3741530122551557						
VTA1	Patient19	0	912	0.0	589147.2868217054	0	1548	16.0	11.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.2667699850392847	-10.517653469606145	0.4133981805574815						
VTA1	Patient2	0	937	0.0	863594.470046083	0	1085	16.0	1.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	3.265505557937613	5.812960621121682	3.7483058775203264	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient22	0	1319	0.0	626305.7929724597	0	2106	16.0	8.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.6727808353635472	-8.835539113541172	0.7569061516629799	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient27	0	847	0.0	588603.1966643502	0	1439	16.0	12.0	0.0	554969.8795180722	0.0	564732.2394849113	564732.2394849113	91520.96827234412	0.26082500688153504	-10.543064232271322	0.4082089973750862	1.0	1.0	1.0	1.0	1.0	
