Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Cyclo_TPM_Median,Noncyclo_TPM_Median,Cyclo_TPM_Mean,Noncyclo_TPM_Mean,associated_gene
PB.161541.3,Patient1,0,0,0,1717,,0.0,,30.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient10,0,2,0,1394,,1434.7202295552368,,24.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient11,0,3,0,1367,,2194.5866861741038,,19.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient12,0,0,0,1791,,0.0,,30.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient13,0,1,0,2218,,450.8566275924256,,28.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient14,0,6,0,1708,,3512.88056206089,,15.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient15,0,13,0,2573,,5052.467936261173,,10.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient16,0,2,0,1271,,1573.5641227380015,,22.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient17,0,8,0,1227,,6519.967400162999,,7.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient18,0,10,0,1387,,7209.805335255947,,6.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient19,0,21,0,1548,,13565.891472868218,,2.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient2,0,9,0,1085,,8294.930875576038,,5.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient20,0,9,0,1738,,5178.3659378596085,,9.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient21,0,8,0,1328,,6024.096385542169,,8.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient22,0,5,0,2106,,2374.1690408357076,,18.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient23,0,5,0,1159,,4314.063848144952,,12.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient24,0,2,0,1661,,1204.0939193257075,,26.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient25,0,3,0,1946,,1541.623843782117,,23.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient26,0,24,0,1469,,16337.644656228726,,1.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient27,0,6,0,1439,,4169.562195969423,,13.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient28,0,3,0,1202,,2495.840266222962,,17.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient29,0,4,0,1857,,2154.0118470651587,,20.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient3,0,6,0,2019,,2971.7682020802376,,16.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient30,0,19,0,1808,,10508.849557522124,,3.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient31,0,18,0,1858,,9687.83638320775,,4.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient4,0,3,0,1450,,2068.9655172413795,,21.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient5,0,7,0,1596,,4385.964912280701,,11.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient6,0,2,0,1602,,1248.4394506866417,,25.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient7,0,1,0,1726,,579.3742757821552,,27.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
PB.161541.3,Patient8,0,5,0,1359,,3679.175864606328,,14.0,,2971.7682020802376,,4217.210237181577,novelGene_SRSF6_AS
