#readname	haplotype
Sample46_m88888_240726_010724_s1/189924408/ccs/2073_5736	none
Sample46_m88888_240731_163529_s1/225642506/ccs/8249_11886	H1
Sample46_m88888_240726_010724_s1/118621267/ccs/2089_5271	none
Sample46_m88888_240731_163529_s1/85396671/ccs/13646_16824	H2
Sample46_m88888_240731_163529_s1/64094453/ccs/14736_17909	none
Sample46_m88888_240731_163529_s1/215811153/ccs/9746_12875	H1
Sample46_m88888_240731_163529_s1/15075563/ccs/10051_13185	H2
Sample46_m88888_240731_163529_s1/85135304/ccs/12592_15722	H1
Sample46_m88888_240726_010724_s1/212992259/ccs/1473_4599	H2
Sample46_m88888_240731_163529_s1/258802351/ccs/70_2121	H1
Sample46_m88888_240731_163529_s1/89196208/ccs/10908_12906	H1
Sample46_m88888_240731_163529_s1/154539117/ccs/3886_5820	H1
Sample46_m88888_240726_010724_s1/263132713/ccs/5944_7846	H1
Sample46_m88888_240731_163529_s1/65279247/ccs/19425_21329	H2
Sample46_m88888_240731_163529_s1/185206263/ccs/10586_12475	H1
Sample46_m88888_240731_163529_s1/115085628/ccs/1191_3133	H1
Sample46_m88888_240731_163529_s1/35065337/ccs/8559_10501	H1
Sample46_m88888_240731_163529_s1/64357652/ccs/2596_4614	H1
Sample46_m88888_240731_163529_s1/108532132/ccs/16306_18322	H1
Sample46_m88888_240731_163529_s1/229708545/ccs/13517_15499	H1
Sample46_m88888_240731_163529_s1/33097331/ccs/6364_8342	H1
Sample46_m88888_240731_163529_s1/21497143/ccs/1271_3237	H1
Sample46_m88888_240726_010724_s1/70652726/ccs/5818_7784	H1
Sample46_m88888_240731_163529_s1/245829143/ccs/11921_13885	H2
Sample46_m88888_240731_163529_s1/233636826/ccs/7797_9762	none
Sample46_m88888_240731_163529_s1/232133678/ccs/69_2031	H1
Sample46_m88888_240731_163529_s1/217517309/ccs/5280_7244	H1
Sample46_m88888_240731_163529_s1/75956920/ccs/13782_15741	H2
Sample46_m88888_240731_163529_s1/112920416/ccs/1096_3059	H2
Sample46_m88888_240731_163529_s1/152113306/ccs/12942_14903	H1
Sample46_m88888_240731_163529_s1/213647660/ccs/7526_9487	H1
Sample46_m88888_240731_163529_s1/245176014/ccs/2916_4875	H2
Sample46_m88888_240731_163529_s1/122817211/ccs/12091_14051	none
Sample46_m88888_240731_163529_s1/97586770/ccs/6876_8833	H1
Sample46_m88888_240731_163529_s1/103548033/ccs/2013_3972	H1
Sample46_m88888_240731_163529_s1/108270052/ccs/15749_17706	none
Sample46_m88888_240731_163529_s1/125376323/ccs/6441_8399	H2
Sample46_m88888_240731_163529_s1/46072360/ccs/11077_13036	H1
Sample46_m88888_240731_163529_s1/118227497/ccs/12484_14440	none
Sample46_m88888_240731_163529_s1/198055686/ccs/69_2027	none
Sample46_m88888_240731_163529_s1/263063926/ccs/6939_8897	H1
Sample46_m88888_240731_163529_s1/186127716/ccs/69_2028	H2
Sample46_m88888_240731_163529_s1/59376580/ccs/6291_8247	none
Sample46_m88888_240731_163529_s1/62395730/ccs/1875_3831	H2
Sample46_m88888_240731_163529_s1/135401835/ccs/3824_5781	H2
Sample46_m88888_240731_163529_s1/125699802/ccs/10197_12152	none
Sample46_m88888_240731_163529_s1/62068040/ccs/3364_5320	none
Sample46_m88888_240731_163529_s1/264177397/ccs/17670_19624	H2
Sample46_m88888_240731_163529_s1/175836166/ccs/2461_4416	H2
Sample46_m88888_240731_163529_s1/56037725/ccs/4374_6328	H2
Sample46_m88888_240731_163529_s1/160892354/ccs/8708_10662	none
Sample46_m88888_240731_163529_s1/117443923/ccs/14582_16536	H2
Sample46_m88888_240731_163529_s1/264571168/ccs/1512_3466	H1
Sample46_m88888_240731_163529_s1/143526151/ccs/1549_3503	H1
Sample46_m88888_240726_010724_s1/235275419/ccs/13746_15698	H2
Sample46_m88888_240731_163529_s1/168955260/ccs/6706_8658	H2
Sample46_m88888_240731_163529_s1/99485378/ccs/13526_15478	H2
Sample46_m88888_240731_163529_s1/246092979/ccs/69_2022	H1
Sample46_m88888_240731_163529_s1/175183124/ccs/3213_5163	none
Sample46_m88888_240731_163529_s1/221184127/ccs/69_2021	none
Sample46_m88888_240731_163529_s1/193335628/ccs/22795_24746	H1
Sample46_m88888_240731_163529_s1/131271136/ccs/9270_11224	H1
Sample46_m88888_240731_163529_s1/121900501/ccs/2025_3976	none
Sample46_m88888_240731_163529_s1/231344165/ccs/41_1992	none
Sample46_m88888_240731_163529_s1/184816169/ccs/4975_6926	H1
Sample46_m88888_240731_163529_s1/113709506/ccs/1062_3008	H1
Sample46_m88888_240731_163529_s1/9309524/ccs/41_1993	none
Sample46_m88888_240731_163529_s1/127992251/ccs/11397_13347	H1
Sample46_m88888_240731_163529_s1/139068535/ccs/1645_3594	none
Sample46_m88888_240731_163529_s1/166923781/ccs/9080_11030	H2
Sample46_m88888_240731_163529_s1/222893759/ccs/69_2017	H1
Sample46_m88888_240731_163529_s1/171576239/ccs/18395_20344	H2
Sample46_m88888_240731_163529_s1/53415112/ccs/2614_4564	none
Sample46_m88888_240726_010724_s1/218172102/ccs/2849_4795	none
Sample46_m88888_240731_163529_s1/53939242/ccs/3521_5469	H2
Sample46_m88888_240731_163529_s1/147002263/ccs/11716_13664	none
Sample46_m88888_240731_163529_s1/187239156/ccs/17674_19620	H1
Sample46_m88888_240731_163529_s1/83954540/ccs/6520_8472	H2
Sample46_m88888_240731_163529_s1/166398642/ccs/7789_9738	none
Sample46_m88888_240731_163529_s1/2558955/ccs/6909_8858	none
Sample46_m88888_240731_163529_s1/78251630/ccs/11284_13232	none
Sample46_m88888_240731_163529_s1/22680548/ccs/2988_4933	H1
Sample46_m88888_240731_163529_s1/194842671/ccs/2601_4549	none
Sample46_m88888_240731_163529_s1/182846547/ccs/41_1989	H1
Sample46_m88888_240731_163529_s1/41812773/ccs/13942_15891	H2
Sample46_m88888_240731_163529_s1/216138586/ccs/4741_6689	none
Sample46_m88888_240731_163529_s1/37028266/ccs/1903_3851	none
Sample46_m88888_240731_163529_s1/219026198/ccs/2570_4518	H1
Sample46_m88888_240731_163529_s1/180357066/ccs/8392_10336	H1
Sample46_m88888_240731_163529_s1/17043379/ccs/12214_14161	none
Sample46_m88888_240726_010724_s1/240128705/ccs/6319_8264	H2
Sample46_m88888_240731_163529_s1/171840010/ccs/4940_6887	H2
Sample46_m88888_240731_163529_s1/242551436/ccs/10899_12845	none
Sample46_m88888_240731_163529_s1/233178054/ccs/20346_22294	none
Sample46_m88888_240731_163529_s1/54334542/ccs/5139_7088	none
Sample46_m88888_240731_163529_s1/264703494/ccs/10363_12312	H2
Sample46_m88888_240731_163529_s1/104793022/ccs/6848_8801	none
Sample46_m88888_240731_163529_s1/183042832/ccs/9678_11624	H2
Sample46_m88888_240731_163529_s1/187700193/ccs/5599_7546	H2
Sample46_m88888_240731_163529_s1/10881487/ccs/15603_17548	H1
Sample46_m88888_240731_163529_s1/134810918/ccs/69_2016	H1
Sample46_m88888_240731_163529_s1/40439483/ccs/69_2015	H1
Sample46_m88888_240731_163529_s1/50594540/ccs/3714_5660	H2
Sample46_m88888_240731_163529_s1/209781438/ccs/69_2014	H2
Sample46_m88888_240731_163529_s1/232786054/ccs/5374_7319	H1
Sample46_m88888_240731_163529_s1/71767445/ccs/10211_12157	H2
Sample46_m88888_240731_163529_s1/98959872/ccs/18930_20876	H2
Sample46_m88888_240731_163529_s1/232195408/ccs/6427_8373	H1
Sample46_m88888_240731_163529_s1/47711986/ccs/10331_12277	H2
Sample46_m88888_240726_010724_s1/163447656/ccs/11720_13666	H2
Sample46_m88888_240731_163529_s1/73600123/ccs/6188_8135	H2
Sample46_m88888_240731_163529_s1/127469951/ccs/69_2020	none
Sample46_m88888_240731_163529_s1/22613500/ccs/2585_4530	none
Sample46_m88888_240731_163529_s1/103418015/ccs/69_2015	none
Sample46_m88888_240731_163529_s1/199430068/ccs/41_1987	H2
Sample46_m88888_240731_163529_s1/77333769/ccs/12063_14009	H1
Sample46_m88888_240731_163529_s1/78780003/ccs/2655_4602	H2
Sample46_m88888_240731_163529_s1/108467725/ccs/3555_5497	H1
Sample46_m88888_240731_163529_s1/57543536/ccs/3149_5092	H2
Sample46_m88888_240731_163529_s1/76089407/ccs/1670_3616	H1
Sample46_m88888_240731_163529_s1/134220743/ccs/69_2015	H1
Sample46_m88888_240731_163529_s1/98763065/ccs/69_2016	none
Sample46_m88888_240731_163529_s1/139464936/ccs/12646_14591	H2
Sample46_m88888_240731_163529_s1/122622840/ccs/13143_15090	H2
Sample46_m88888_240731_163529_s1/180618528/ccs/8827_10770	H1
Sample46_m88888_240731_163529_s1/195301363/ccs/1957_3902	H1
Sample46_m88888_240731_163529_s1/127536562/ccs/2498_4441	H1
Sample46_m88888_240731_163529_s1/18027006/ccs/9642_11587	H1
Sample46_m88888_240731_163529_s1/217189197/ccs/7862_9807	none
Sample46_m88888_240731_163529_s1/227082812/ccs/69_2019	H1
Sample46_m88888_240731_163529_s1/131140046/ccs/11988_13931	none
Sample46_m88888_240731_163529_s1/20447532/ccs/8149_10096	none
Sample46_m88888_240731_163529_s1/15536840/ccs/6760_8705	none
Sample46_m88888_240731_163529_s1/193465575/ccs/15377_17324	none
Sample46_m88888_240731_163529_s1/37622437/ccs/10334_12279	H1
Sample46_m88888_240731_163529_s1/35525002/ccs/12691_14639	H1
Sample46_m88888_240731_163529_s1/171184351/ccs/3339_5280	H2
Sample46_m88888_240731_163529_s1/81201345/ccs/6035_7980	H2
Sample46_m88888_240731_163529_s1/168821787/ccs/69_2015	H2
Sample46_m88888_240726_010724_s1/18023121/ccs/4822_6767	H1
Sample46_m88888_240731_163529_s1/252905707/ccs/11621_13566	H1
Sample46_m88888_240731_163529_s1/152634930/ccs/3119_5062	none
Sample46_m88888_240731_163529_s1/87819510/ccs/1266_3209	H2
Sample46_m88888_240731_163529_s1/232653078/ccs/10012_11954	none
Sample46_m88888_240731_163529_s1/189793611/ccs/4769_6712	none
Sample46_m88888_240731_163529_s1/201196969/ccs/10937_12881	H1
Sample46_m88888_240731_163529_s1/203292954/ccs/1229_3173	H1
Sample46_m88888_240731_163529_s1/80679373/ccs/41_1981	H1
Sample46_m88888_240731_163529_s1/98894181/ccs/13692_15635	H1
Sample46_m88888_240731_163529_s1/130024617/ccs/69_2016	H1
Sample46_m88888_240731_163529_s1/35787060/ccs/10128_12072	none
Sample46_m88888_240731_163529_s1/118230530/ccs/12386_14328	none
Sample46_m88888_240731_163529_s1/136184579/ccs/11000_12939	H1
Sample46_m88888_240731_163529_s1/30413150/ccs/14257_16197	H1
Sample46_m88888_240731_163529_s1/172884077/ccs/8488_10431	none
Sample46_m88888_240731_163529_s1/46729904/ccs/41_1984	H2
Sample46_m88888_240731_163529_s1/266536275/ccs/9139_11085	H2
Sample46_m88888_240731_163529_s1/38799471/ccs/10237_12182	none
Sample46_m88888_240731_163529_s1/210502843/ccs/8501_10443	none
Sample46_m88888_240731_163529_s1/93062426/ccs/5594_7536	H1
Sample46_m88888_240726_010724_s1/228333316/ccs/69_2011	none
Sample46_m88888_240726_010724_s1/87888966/ccs/7856_9796	H2
Sample46_m88888_240731_163529_s1/210899079/ccs/8876_10818	H2
Sample46_m88888_240731_163529_s1/172558998/ccs/69_2009	H2
Sample46_m88888_240731_163529_s1/41749458/ccs/11943_13886	H1
Sample46_m88888_240731_163529_s1/172430567/ccs/8165_10106	none
Sample46_m88888_240731_163529_s1/19534163/ccs/8428_10364	none
Sample46_m88888_240731_163529_s1/258543374/ccs/4362_6300	none
Sample46_m88888_240731_163529_s1/188417908/ccs/1467_3405	none
Sample46_m88888_240731_163529_s1/131467700/ccs/69_2008	none
Sample46_m88888_240731_163529_s1/24908466/ccs/15247_17188	H2
Sample46_m88888_240731_163529_s1/31850725/ccs/1366_3304	H1
Sample46_m88888_240731_163529_s1/129501453/ccs/6573_8511	none
Sample46_m88888_240731_163529_s1/162267342/ccs/7710_9649	H1
Sample46_m88888_240731_163529_s1/52497045/ccs/69_2007	none
Sample46_m88888_240731_163529_s1/91882033/ccs/13852_15791	none
Sample46_m88888_240731_163529_s1/73533872/ccs/14171_16110	H2
Sample46_m88888_240731_163529_s1/218500910/ccs/14241_16183	none
Sample46_m88888_240731_163529_s1/31197571/ccs/69_2008	H2
Sample46_m88888_240731_163529_s1/9702398/ccs/4383_6321	H1
Sample46_m88888_240731_163529_s1/138282566/ccs/1889_3827	H2
Sample46_m88888_240731_163529_s1/21497414/ccs/11079_13018	H2
Sample46_m88888_240731_163529_s1/252707307/ccs/16815_18750	none
Sample46_m88888_240731_163529_s1/202966727/ccs/3494_5433	H2
Sample46_m88888_240731_163529_s1/135270122/ccs/6440_8379	H2
Sample46_m88888_240731_163529_s1/135922125/ccs/11942_13879	H2
Sample46_m88888_240731_163529_s1/249956815/ccs/4749_6687	none
Sample46_m88888_240731_163529_s1/87098295/ccs/1387_3324	none
Sample46_m88888_240731_163529_s1/222299616/ccs/42_1979	H2
Sample46_m88888_240731_163529_s1/86380391/ccs/1992_3930	H2
Sample46_m88888_240731_163529_s1/242614814/ccs/69_2006	H2
Sample46_m88888_240731_163529_s1/112660912/ccs/1965_3902	H1
Sample46_m88888_240731_163529_s1/127799216/ccs/9368_11307	none
Sample46_m88888_240731_163529_s1/55513129/ccs/9184_11122	H2
Sample46_m88888_240731_163529_s1/154604196/ccs/5610_7548	H2
Sample46_m88888_240731_163529_s1/215290691/ccs/1814_3752	H1
Sample46_m88888_240726_010724_s1/45093782/ccs/10450_12388	H2
Sample46_m88888_240731_163529_s1/249498684/ccs/69_2006	H2
Sample46_m88888_240731_163529_s1/110627986/ccs/2140_4078	none
