associated_gene,Sample,cyclo_count,noncyclo_count,Cyclo_TPM,Noncyclo_TPM,total_cyclo,total_noncyclo,H0_cyclo_count,H1_cyclo_count,H2_cyclo_count,H0_noncyclo_count,H1_noncyclo_count,H2_noncyclo_count,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Cyclo_TPM_Median,Noncyclo_TPM_Median,Cyclo_TPM_Mean,Noncyclo_TPM_Mean,Avg_Noncyclo_TPM,SD_Noncyclo_TPM,Noncyclo_TPM_Z_Score,test_statistic,z_score_of_test_stat,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes,Source_File,NoncycloHaplotypeDifference
HARS1,Patient10,0,402,0.0,288378.7661406025,0,1394,0,0,0,149,148,105,16.0,25.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-0.5868418308419633,-39.41200185210029,0.3622525219645829,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient11,0,252,0.0,184345.28163862476,0,1367,0,0,0,87,82,83,16.0,30.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-1.7001650107679362,-27.521613724994825,1.1936322819301757,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient13,0,548,0.0,247069.4319206492,0,2218,0,0,0,191,182,175,16.0,28.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-1.0289171833551138,-35.30369797253486,0.6495064498218801,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient2,0,71,0.0,65437.78801843317,0,1085,0,0,0,24,28,19,16.0,31.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-2.972663663946685,27.521613724994825,5.042272438661875,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient28,0,246,0.0,204658.90183028285,0,1202,0,0,0,88,86,72,16.0,29.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-1.4827770771055266,-30.299379542012723,0.9994100031024152,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient30,0,512,0.0,283185.8407079646,0,1808,0,0,0,190,166,156,16.0,26.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-0.6424143638918679,-38.92913568696406,0.3960146794463329,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient31,0,537,0.0,289020.45209903124,0,1858,0,0,0,185,174,178,16.0,24.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-0.5799747739979899,-39.47106473009106,0.3581228265499391,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient4,0,453,0.0,312413.7931034483,0,1450,0,0,0,145,152,156,16.0,20.0,0.0,350427.35042735044,0.0,343215.6738910269,343215.6738910269,93444.101746714,-0.3296289462021796,-41.53925931526221,0.2135139963417776,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Noncyclo_LOE_gene_top_ranked_data.csv.gz,
SRSF6,Patient14,0,44,0.0,25761.124121779856,0,1708,0,0,0,17,14,13,16.0,24.0,0.0,67276.64155005381,0.0,86000.43620467439,86000.43620467439,64868.28681700796,-0.9286404040980508,-62.38461786710941,0.7216774261388889,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
SRSF6,Patient17,0,25,0.0,20374.89812550937,0,1227,0,0,0,9,6,10,16.0,27.0,0.0,67276.64155005381,0.0,86000.43620467439,86000.43620467439,64868.28681700796,-1.0116736744457775,-56.9515104801113,0.8998964041145046,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
SRSF6,Patient22,0,43,0.0,20417.853751187085,0,2106,0,0,0,11,17,15,16.0,26.0,0.0,67276.64155005381,0.0,86000.43620467439,86000.43620467439,64868.28681700796,-1.011011476817545,-57.000291841185216,0.8982962582503426,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
SRSF6,Patient23,0,18,0.0,15530.629853321829,0,1159,0,0,0,7,6,5,16.0,30.0,0.0,67276.64155005381,0.0,86000.43620467439,86000.43620467439,64868.28681700796,-1.0863522039690423,-50.66316348479008,1.1061692963720953,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
SRSF6,Patient29,0,35,0.0,18847.60366182014,0,1857,0,0,0,13,9,13,16.0,29.0,0.0,67276.64155005381,0.0,86000.43620467439,86000.43620467439,64868.28681700796,-1.035218221999464,-55.1467359015705,0.9590973471390504,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
SRSF6,Patient9,0,3,0.0,1742.1602787456443,0,1722,0,0,0,2,0,1,16.0,31.0,0.0,67276.64155005381,0.0,86000.43620467439,86000.43620467439,64868.28681700796,-1.2989132295665449,50.66316348479008,4.429916306739797,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient16,0,567,0.0,446105.4287962235,0,1271,0,0,0,204,184,179,16.0,29.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-1.2961708439937318,-1.429225578947762,1.476827161639555,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient18,0,699,0.0,503965.3929343908,0,1387,0,0,0,217,256,226,16.0,21.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-0.6639663860383691,-4.789969401089994,0.6986700830889071,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient20,0,862,0.0,495972.3820483314,0,1738,0,0,0,278,308,276,16.0,23.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-0.7513016823856943,-4.349392043087705,0.8006827350262063,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient24,0,804,0.0,484045.7555689343,0,1661,0,0,0,285,266,253,16.0,27.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-0.8816174636163558,-3.678611551516398,0.9559973365828272,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient25,0,856,0.0,439876.67009249737,0,1946,0,0,0,292,278,286,16.0,30.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-1.3642291132767976,-1.0417368288041762,1.5665475121751615,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient3,0,1000,0.0,495294.7003467063,0,2019,0,0,0,328,336,336,16.0,26.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-0.7587063429177867,-4.311712066036951,0.8094072741203465,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient5,0,676,0.0,423558.8972431078,0,1596,0,0,0,212,225,239,16.0,31.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-1.5425245701258976,1.041736828804175,2.04896148373706,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient7,0,856,0.0,495944.3800695249,0,1726,0,0,0,299,258,299,16.0,24.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-0.7516076448261613,-4.3478361169332,0.8010429990079038,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
VTA1,Patient8,0,726,0.0,534216.3355408389,0,1359,0,0,0,253,223,250,16.0,18.0,0.0,554969.8795180722,0.0,564732.2394849113,564732.2394849113,91520.96827234412,-0.3334307374596882,-6.396407568446616,0.3267103928124665,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
novelGene_SRSF6_AS,Patient1,0,0,0.0,0.0,0,1717,0,0,0,0,0,0,16.0,31.0,0.0,4385.964912280701,0.0,5697.974598404766,5697.974598404766,4308.722277770671,-1.3224279104275185,118.7979612170238,5.344890261863784,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
novelGene_SRSF6_AS,Patient12,0,2,0.0,1116.6945840312674,0,1791,0,0,0,0,1,1,16.0,29.0,0.0,4385.964912280701,0.0,5697.974598404766,5697.974598404766,4308.722277770671,-1.063257206900754,-122.52697367405366,0.4782793861164772,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
novelGene_SRSF6_AS,Patient6,0,2,0.0,1248.4394506866415,0,1602,0,0,0,1,0,1,16.0,27.0,0.0,4385.964912280701,0.0,5697.974598404766,5697.974598404766,4308.722277770671,-1.032680887945349,-124.47208689326936,0.439053811886166,1.0,1.0,1.0,1.0,1.0,,Noncyclo_LOE_gene_top_ranked_data.csv.gz,
HARS1,Patient10,0,402,0.0,288378.7661406025,0,1394,0,0,0,149,148,105,16.0,25.0,0.0,350427.35042735044,0.0,343215.6738910269,,,,3.921630153652424,3.760974222489784,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,0.1699604743083003
HARS1,Patient15,0,988,0.0,383987.5631558492,0,2573,0,0,0,325,322,341,16.0,9.0,0.0,350427.35042735044,0.0,343215.6738910269,,,,0.7729067000447507,0.0969418125253108,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,-0.028657616892911
HARS1,Patient16,0,647,0.0,509047.9937057435,0,1271,0,0,0,198,217,232,16.0,1.0,0.0,350427.35042735044,0.0,343215.6738910269,,,,0.8458309110949425,0.1818005423235245,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,-0.0334075723830735
HARS1,Patient2,0,71,0.0,65437.78801843317,0,1085,0,0,0,24,28,19,16.0,31.0,0.0,350427.35042735044,0.0,343215.6738910269,,,,2.977553463583733,2.6623932766336638,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,0.1914893617021276
HARS1,Patient20,0,781,0.0,449367.08860759495,0,1738,0,0,0,277,270,234,16.0,4.0,0.0,350427.35042735044,0.0,343215.6738910269,,,,1.8460168761753708,1.3456734089124942,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,0.0714285714285714
HARS1,Patient25,0,738,0.0,379239.4655704008,0,1946,0,0,0,227,263,248,16.0,10.0,0.0,350427.35042735044,0.0,343215.6738910269,,,,0.7592916558403852,0.0810985782867698,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,0.0293542074363992
HARS1,Patient28,0,246,0.0,204658.90183028285,0,1202,0,0,0,88,86,72,16.0,29.0,0.0,350427.35042735044,0.0,343215.6738910269,,,,1.8487252188311265,1.3488249893590425,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive",Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,0.0886075949367088
SRSF6,Patient11,0,299,0.0,218727.139722019,0,1367,0,0,0,94,114,91,16.0,2.0,0.0,67276.64155005381,0.0,86000.43620467439,,,,2.4722403981592,2.113023676793932,1.0,1.0,1.0,1.0,1.0,,Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,0.1121951219512195
SRSF6,Patient17,0,25,0.0,20374.89812550937,0,1227,0,0,0,9,6,10,16.0,27.0,0.0,67276.64155005381,0.0,86000.43620467439,,,,2.608306786318773,2.2773619774821863,1.0,1.0,1.0,1.0,1.0,,Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,-0.25
SRSF6,Patient22,0,43,0.0,20417.853751187085,0,2106,0,0,0,11,17,15,16.0,26.0,0.0,67276.64155005381,0.0,86000.43620467439,,,,0.8496250072115619,0.1532608020256421,1.0,1.0,1.0,1.0,1.0,,Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,0.0625
SRSF6,Patient27,0,45,0.0,31271.716469770672,0,1439,0,0,0,15,12,18,16.0,23.0,0.0,67276.64155005381,0.0,86000.43620467439,,,,2.6864627139802457,2.37175716584816,1.0,1.0,1.0,1.0,1.0,,Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,-0.2
SRSF6,Patient29,0,35,0.0,18847.60366182014,0,1857,0,0,0,13,9,13,16.0,29.0,0.0,67276.64155005381,0.0,86000.43620467439,,,,2.1647277416177584,1.741615953698609,1.0,1.0,1.0,1.0,1.0,,Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,-0.1818181818181818
SRSF6,Patient6,0,77,0.0,48064.91885143571,0,1602,0,0,0,30,22,25,16.0,20.0,0.0,67276.64155005381,0.0,86000.43620467439,,,,0.9824832453819168,0.3137243624146036,1.0,1.0,1.0,1.0,1.0,,Nonyclo_Allelic_Imbalance_gene_top_ranked_data.csv.gz,-0.0638297872340425
