Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score
PB.161541.3	Patient19	0	0	0	8	5	8	0	21	0	1548		13565.891472868218		2.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	22.0		0.9545454545454546	-0.2307692307692307	2.1646184712917043	4.087673572929198	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161541.3	Patient31	0	0	0	3	9	6	0	18	0	1858		9687.83638320775		4.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	18.0		1.0	0.2	2.0103810896810197	3.7964111277780352	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.18	Patient17	0	0	0	7	2	8	0	17	0	1227		13854.930725346372		27.0		41351.1939429237		56432.16802184861	SRSF6	0.0	25.0		0.68	-0.6	5.26513146048854	2.9983707172104634	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.18	Patient18	0	0	0	15	23	12	0	50	0	1387		36049.02667627974		19.0		41351.1939429237		56432.16802184861	SRSF6	0.0	82.0		0.6097560975609756	0.3142857142857143	4.536967686788828	2.5087031923795307	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.18	Patient2	0	0	0	18	19	9	0	46	0	1085		42396.3133640553		15.0		41351.1939429237		56432.16802184861	SRSF6	0.0	62.0		0.7419354838709677	0.3571428571428571	4.807354922057604	2.6905302112756133	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.18	Patient22	0	0	0	8	14	10	0	32	0	2106		15194.681861348528		26.0		41351.1939429237		56432.16802184861	SRSF6	0.0	43.0		0.7441860465116279	0.1666666666666666	2.0515826300241	0.8373589248471318	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.18	Patient27	0	0	0	6	6	14	0	26	0	1439		18068.102849200837		24.0		41351.1939429237		56432.16802184861	SRSF6	0.0	45.0		0.5777777777777777	-0.4	4.752114118850596	2.6533824866111297	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.19	Patient11	0	0	0	43	51	29	0	123	0	1367		89978.05413313826		1.0		5559.416261292564		12344.236204445102	SRSF6	0.0	299.0		0.411371237458194	0.275	5.016760492411892	3.1535990314572206	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.19	Patient15	0	0	0	18	19	14	0	51	0	2573		19821.220365332298		6.0		5559.416261292564		12344.236204445102	SRSF6	0.0	294.0		0.173469387755102	0.1515151515151515	2.093612720675438	1.3160714086620378	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
PB.161551.19	Patient5	0	0	0	4	8	17	0	29	0	1596		18170.426065162905		9.0		5559.416261292564		12344.236204445102	SRSF6	0.0	354.0		0.0819209039548022	-0.36	4.643856189774724	2.9191866752362	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz			
