Sample,Cyclo Unique Isoform,Cyclo Total Reads,Cyclo Unique Isoform >1,Cyclo Unique Isoform >10,Cyclo Unique Isoform >100,Cyclo Unique Isoform >1000,Noncyclo Unique Isoform,Noncyclo Total Reads,Noncyclo Unique Isoform >1,Noncyclo Unique Isoform >10,Noncyclo Unique Isoform >100,Noncyclo Unique Isoform >1000
Patient1,0,0,0,0,0,0,21,1717,18,7,4,0
Patient10,0,0,0,0,0,0,25,1394,22,12,4,0
Patient11,0,0,0,0,0,0,28,1367,24,12,5,0
Patient12,0,0,0,0,0,0,23,1791,18,11,5,0
Patient13,0,0,0,0,0,0,25,2218,18,10,6,0
Patient14,0,0,0,0,0,0,21,1708,18,9,5,0
Patient15,0,0,0,0,0,0,28,2573,24,12,6,0
Patient16,0,0,0,0,0,0,24,1271,20,8,3,0
Patient17,0,0,0,0,0,0,20,1227,19,7,3,0
Patient18,0,0,0,0,0,0,25,1387,22,10,4,0
Patient19,0,0,0,0,0,0,28,1548,19,10,3,0
Patient2,0,0,0,0,0,0,20,1085,18,7,3,0
Patient20,0,0,0,0,0,0,28,1738,24,8,3,0
Patient21,0,0,0,0,0,0,23,1328,20,9,4,0
Patient22,0,0,0,0,0,0,23,2106,16,7,5,0
Patient23,0,0,0,0,0,0,19,1159,17,9,3,0
Patient24,0,0,0,0,0,0,24,1661,20,9,3,0
Patient25,0,0,0,0,0,0,30,1946,25,11,4,0
Patient26,0,0,0,0,0,0,27,1469,24,11,5,0
Patient27,0,0,0,0,0,0,26,1439,22,8,3,0
Patient28,0,0,0,0,0,0,25,1202,20,9,3,0
Patient29,0,0,0,0,0,0,25,1857,22,11,5,0
Patient3,0,0,0,0,0,0,25,2019,18,10,5,0
Patient30,0,0,0,0,0,0,25,1808,20,11,4,0
Patient31,0,0,0,0,0,0,22,1858,20,12,4,0
Patient4,0,0,0,0,0,0,27,1450,22,7,3,0
Patient5,0,0,0,0,0,0,22,1596,19,10,5,0
Patient6,0,0,0,0,0,0,20,1602,17,8,4,0
Patient7,0,0,0,0,0,0,23,1726,19,8,4,0
Patient8,0,0,0,0,0,0,27,1359,20,9,4,0
Patient9,0,0,0,0,0,0,19,1722,15,9,5,0
