#readname	haplotype
Sample11_m88888_231117_223025_s4/201723788/ccs/13166_16845	H2
Sample11_m88888_231117_223025_s4/211091943/ccs/13285_16942	H1
Sample11_m88888_231120_235038_s1/39062992/ccs/14494_18137	none
Sample11_m88888_231117_223025_s4/74127016/ccs/14855_18495	none
Sample11_m88888_231117_223025_s4/179242652/ccs/14164_17799	H2
Sample11_m88888_231117_223025_s4/84479591/ccs/12235_15863	none
Sample11_m88888_231117_223025_s4/159584922/ccs/67_3697	none
Sample11_m88888_231117_223025_s4/57938896/ccs/67_3692	none
Sample11_m88888_231117_223025_s4/160633327/ccs/7894_11516	H2
Sample11_m88888_231120_235038_s1/235995873/ccs/12481_15663	none
Sample11_m88888_231120_235038_s1/190384855/ccs/10366_13519	H1
Sample11_m88888_231120_235038_s1/147392852/ccs/67_3217	none
Sample11_m88888_231120_235038_s1/8393660/ccs/4740_7853	H1
Sample11_m88888_231120_235038_s1/189796708/ccs/39_2044	H1
Sample11_m88888_231120_235038_s1/218301451/ccs/39_2081	H1
Sample11_m88888_231117_223025_s4/218172524/ccs/18430_20461	H2
Sample11_m88888_231117_223025_s4/183243628/ccs/11873_13904	H1
Sample11_m88888_231117_223025_s4/247073188/ccs/12559_14576	none
Sample11_m88888_231117_223025_s4/250417225/ccs/3532_5542	H2
Sample11_m88888_231120_235038_s1/180883281/ccs/67_2072	H2
Sample11_m88888_231120_235038_s1/247072132/ccs/5180_7170	H1
Sample11_m88888_231120_235038_s1/202379287/ccs/67_2110	none
Sample11_m88888_231120_235038_s1/266732243/ccs/18386_20413	none
Sample11_m88888_231120_235038_s1/225580129/ccs/10269_12290	none
Sample11_m88888_231117_223025_s4/192285720/ccs/11576_13593	none
Sample11_m88888_231120_235038_s1/73993451/ccs/7486_9469	none
Sample11_m88888_231117_223025_s4/226100988/ccs/5967_7949	H2
Sample11_m88888_231120_235038_s1/191566049/ccs/40_2019	H2
Sample11_m88888_231120_235038_s1/262539908/ccs/4916_6882	H1
Sample11_m88888_231117_223025_s4/115020240/ccs/14090_16059	H2
Sample11_m88888_231120_235038_s1/199104063/ccs/1106_3063	H2
Sample11_m88888_231120_235038_s1/182255749/ccs/14389_16354	none
Sample11_m88888_231120_235038_s1/239864171/ccs/6021_7984	H2
Sample11_m88888_231117_223025_s4/103746966/ccs/16434_18399	none
Sample11_m88888_231120_235038_s1/85595277/ccs/20034_21998	H2
Sample11_m88888_231120_235038_s1/32510113/ccs/10193_12156	H1
Sample11_m88888_231120_235038_s1/89850514/ccs/14373_16336	H2
Sample11_m88888_231117_223025_s4/146933556/ccs/4265_6229	none
Sample11_m88888_231117_223025_s4/175703838/ccs/67_2030	none
Sample11_m88888_231120_235038_s1/30213115/ccs/67_2029	H1
Sample11_m88888_231120_235038_s1/196020234/ccs/3080_5040	none
Sample11_m88888_231120_235038_s1/214503311/ccs/15023_16979	none
Sample11_m88888_231117_223025_s4/131600175/ccs/3709_5671	H2
Sample11_m88888_231120_235038_s1/52824894/ccs/13135_15094	H1
Sample11_m88888_231117_223025_s4/66454471/ccs/5956_7913	H2
Sample11_m88888_231117_223025_s4/6030439/ccs/39_2001	H2
Sample11_m88888_231117_223025_s4/104597671/ccs/3472_5430	H2
Sample11_m88888_231117_223025_s4/148309713/ccs/15102_17062	H1
Sample11_m88888_231117_223025_s4/74978742/ccs/2884_4838	H2
Sample11_m88888_231120_235038_s1/254807337/ccs/39_1998	none
Sample11_m88888_231120_235038_s1/218170111/ccs/10157_12116	none
Sample11_m88888_231120_235038_s1/99160221/ccs/10808_12767	H2
Sample11_m88888_231120_235038_s1/67963009/ccs/12875_14833	none
Sample11_m88888_231120_235038_s1/131076124/ccs/14763_16720	none
Sample11_m88888_231120_235038_s1/83169365/ccs/2406_4361	H1
Sample11_m88888_231120_235038_s1/127473405/ccs/8528_10485	H2
Sample11_m88888_231120_235038_s1/229840235/ccs/3923_5881	H2
Sample11_m88888_231117_223025_s4/55446230/ccs/67_2024	none
Sample11_m88888_231120_235038_s1/89262733/ccs/16273_18234	none
Sample11_m88888_231117_223025_s4/42337782/ccs/10048_12006	H2
Sample11_m88888_231120_235038_s1/96864168/ccs/9424_11381	H1
Sample11_m88888_231117_223025_s4/199492628/ccs/13933_15894	none
Sample11_m88888_231120_235038_s1/225316129/ccs/1889_3846	H1
Sample11_m88888_231120_235038_s1/197527766/ccs/12187_14144	H2
Sample11_m88888_231117_223025_s4/246681618/ccs/67_2029	none
Sample11_m88888_231117_223025_s4/156832814/ccs/67_2025	H1
Sample11_m88888_231117_223025_s4/124716086/ccs/6817_8773	none
Sample11_m88888_231117_223025_s4/123668753/ccs/17812_19768	H1
Sample11_m88888_231120_235038_s1/163775605/ccs/2026_3983	H1
Sample11_m88888_231120_235038_s1/119738876/ccs/11528_13484	H1
Sample11_m88888_231117_223025_s4/159580955/ccs/18075_20035	H2
Sample11_m88888_231120_235038_s1/158007544/ccs/5914_7868	H2
Sample11_m88888_231117_223025_s4/234555222/ccs/18652_20606	H2
Sample11_m88888_231120_235038_s1/166332547/ccs/4499_6453	H1
Sample11_m88888_231117_223025_s4/128389395/ccs/11608_13566	none
Sample11_m88888_231120_235038_s1/77269775/ccs/12167_14123	H2
Sample11_m88888_231117_223025_s4/174722499/ccs/14398_16354	H1
Sample11_m88888_231117_223025_s4/224597278/ccs/17820_19776	H2
Sample11_m88888_231120_235038_s1/223679159/ccs/3670_5628	H2
Sample11_m88888_231117_223025_s4/56428389/ccs/2886_4843	none
Sample11_m88888_231117_223025_s4/23596378/ccs/13312_15265	H2
Sample11_m88888_231120_235038_s1/10227817/ccs/1833_3789	H2
Sample11_m88888_231117_223025_s4/256247829/ccs/67_2021	H2
Sample11_m88888_231120_235038_s1/127080070/ccs/13877_15830	H2
Sample11_m88888_231120_235038_s1/87950351/ccs/1524_3476	H1
Sample11_m88888_231120_235038_s1/147592927/ccs/16883_18836	H2
Sample11_m88888_231117_223025_s4/175968454/ccs/11248_13198	none
Sample11_m88888_231117_223025_s4/126354107/ccs/5121_7075	H2
Sample11_m88888_231120_235038_s1/204472961/ccs/11893_13847	H1
Sample11_m88888_231117_223025_s4/221648768/ccs/3395_5348	H1
Sample11_m88888_231120_235038_s1/255854963/ccs/12727_14680	H2
Sample11_m88888_231117_223025_s4/218762493/ccs/67_2021	H1
Sample11_m88888_231117_223025_s4/62916927/ccs/14826_16780	H1
Sample11_m88888_231120_235038_s1/204542448/ccs/6502_8454	H1
Sample11_m88888_231120_235038_s1/106956868/ccs/5489_7446	none
Sample11_m88888_231120_235038_s1/81203068/ccs/2679_4632	H1
Sample11_m88888_231117_223025_s4/114622547/ccs/12887_14841	none
Sample11_m88888_231120_235038_s1/124586126/ccs/2556_4510	none
Sample11_m88888_231120_235038_s1/115213660/ccs/9178_11131	none
Sample11_m88888_231117_223025_s4/32707243/ccs/39_1991	none
Sample11_m88888_231117_223025_s4/80745925/ccs/1627_3580	none
Sample11_m88888_231117_223025_s4/247534363/ccs/6448_8401	H2
Sample11_m88888_231120_235038_s1/240455667/ccs/17255_19208	none
Sample11_m88888_231120_235038_s1/199496088/ccs/4446_6399	H2
Sample11_m88888_231117_223025_s4/218894197/ccs/7189_9140	H2
Sample11_m88888_231117_223025_s4/16649820/ccs/67_2021	none
Sample11_m88888_231120_235038_s1/160829488/ccs/39_1987	H2
Sample11_m88888_231117_223025_s4/68292712/ccs/6715_8664	none
Sample11_m88888_231117_223025_s4/225448845/ccs/67_2015	none
Sample11_m88888_231117_223025_s4/107218018/ccs/9494_11443	H2
Sample11_m88888_231120_235038_s1/194907640/ccs/3604_5555	H1
Sample11_m88888_231117_223025_s4/49483938/ccs/8120_10068	H1
Sample11_m88888_231117_223025_s4/158402526/ccs/9543_11493	H2
Sample11_m88888_231120_235038_s1/92735759/ccs/14892_16844	H1
Sample11_m88888_231117_223025_s4/42145081/ccs/9719_11668	none
Sample11_m88888_231120_235038_s1/181929332/ccs/6128_8076	H2
Sample11_m88888_231117_223025_s4/220731311/ccs/5266_7214	H2
Sample11_m88888_231120_235038_s1/255988340/ccs/8876_10824	H1
Sample11_m88888_231120_235038_s1/161547304/ccs/11618_13566	none
Sample11_m88888_231120_235038_s1/206312279/ccs/14682_16629	H2
Sample11_m88888_231120_235038_s1/233767591/ccs/67_2015	H2
Sample11_m88888_231117_223025_s4/206443287/ccs/67_2019	none
Sample11_m88888_231120_235038_s1/181929774/ccs/16735_18683	none
Sample11_m88888_231117_223025_s4/139203111/ccs/39_1987	none
Sample11_m88888_231120_235038_s1/42931715/ccs/13810_15759	H2
Sample11_m88888_231117_223025_s4/125567773/ccs/15299_17247	H2
Sample11_m88888_231120_235038_s1/37751936/ccs/8969_10913	H1
Sample11_m88888_231120_235038_s1/18681688/ccs/39_1987	none
Sample11_m88888_231120_235038_s1/226693769/ccs/13356_15303	none
Sample11_m88888_231120_235038_s1/80417432/ccs/10869_12816	H1
Sample11_m88888_231120_235038_s1/115611490/ccs/13502_15452	H2
Sample11_m88888_231117_223025_s4/147066136/ccs/4726_6676	none
Sample11_m88888_231120_235038_s1/90047496/ccs/3233_5181	H1
Sample11_m88888_231120_235038_s1/88147314/ccs/12437_14385	H2
Sample11_m88888_231117_223025_s4/85396295/ccs/9827_11774	H2
Sample11_m88888_231117_223025_s4/53022286/ccs/2576_4525	none
Sample11_m88888_231117_223025_s4/93652722/ccs/39_1986	H2
Sample11_m88888_231120_235038_s1/175966649/ccs/16616_18564	none
Sample11_m88888_231117_223025_s4/75895709/ccs/9557_11505	none
Sample11_m88888_231117_223025_s4/139069143/ccs/13248_15190	H1
Sample11_m88888_231117_223025_s4/186976118/ccs/10111_12059	H2
Sample11_m88888_231120_235038_s1/211228158/ccs/66_2020	H2
Sample11_m88888_231117_223025_s4/196345925/ccs/11831_13777	none
Sample11_m88888_231120_235038_s1/180356993/ccs/11248_13204	none
Sample11_m88888_231117_223025_s4/17039839/ccs/5019_6968	H1
Sample11_m88888_231120_235038_s1/68752387/ccs/3844_5788	H1
Sample11_m88888_231120_235038_s1/73662987/ccs/67_2013	none
Sample11_m88888_231120_235038_s1/98436870/ccs/7780_9721	H1
Sample11_m88888_231120_235038_s1/75761087/ccs/11376_13322	none
Sample11_m88888_231120_235038_s1/75825299/ccs/67_2015	H1
Sample11_m88888_231117_223025_s4/123077504/ccs/14364_16310	H2
