associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Total_bin_cyclo_count_Bin1_le	Total_bin_cyclo_count_Bin2_g	Total_bin_noncyclo_count_Bin1_le	Total_bin_noncyclo_count_Bin2_g	proportion_in_Bin1_cyclo	proportion_in_Bin1_noncyclo	bin_proportion_difference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File	CycloHaplotypeDifference	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	NoncycloHaplotypeDifference	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	Cyclo_TPM_median	Cyclo_TPM_Q1	Cyclo_TPM_Q3	Cyclo_TPM_min	Cyclo_TPM_max	Noncyclo_TPM_median	Noncyclo_TPM_Q1	Noncyclo_TPM_Q3	Noncyclo_TPM_min	Noncyclo_TPM_max	Cyclo Unique associated_gene	Cyclo Total Reads	Cyclo Unique associated_gene >1	Cyclo Unique associated_gene >10	Cyclo Unique associated_gene >100	Cyclo Unique associated_gene >1000	Noncyclo Unique associated_gene	Noncyclo Total Reads	Noncyclo Unique associated_gene >1	Noncyclo Unique associated_gene >10	Noncyclo Unique associated_gene >100	Noncyclo Unique associated_gene >1000	NMD_rank_top_99_5_percentile	Noncyclo_LOE_rank_top_99_5_percentile	Noncyclo_GOE_rank_top_99_5_percentile	Cyclo_GOE_rank_top_99_5_percentile	NMD_rare_steady_state_transcript_rank_top_99_5_percentile	Nonyclo_Allelic_Imbalance_rank_top_99_5_percentile	Cyclo_Allelic_Imbalance_rank_top_99_5_percentile
HARS1	Patient2	145.0	71.0	113547.37666405638	65437.78801843317	1277.0	1085.0	49.0	47.0	49.0	24.0	28.0	19.0	31.0	31.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	75.0	70.0	0.0	71.0	0.5172413793103449	0.0	1.0	19.80269392417545	5.576848698215066	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient1	191.0	95.0	100420.60988433228	55329.0623179965	1902.0	1717.0	49.0	76.0	66.0	34.0	29.0	32.0	19.0	19.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	24.0	167.0	0.0	95.0	0.1256544502617801	0.0	1.0	3.8224523585510486	0.418986254668977	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient15	324.0	294.0	235465.1162790697	114263.505635445	1376.0	2573.0	109.0	108.0	107.0	96.0	97.0	101.0	5.0	11.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	85.0	239.0	4.0	290.0	0.2623456790123457	0.0136054421768707	0.9013923761698244	13.043250408555782	2.844467836015888	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient17	56.0	25.0	57435.89743589744	20374.89812550937	975.0	1227.0	19.0	25.0	12.0	9.0	6.0	10.0	25.0	27.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	18.0	38.0	0.0	25.0	0.3214285714285714	0.0	1.0	6.305408590728806	1.0721146038398586	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient19	74.0	31.0	60211.55410903173	20025.83979328165	1229.0	1548.0	21.0	34.0	19.0	12.0	11.0	8.0	23.0	28.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	38.0	36.0	0.0	31.0	0.5135135135135135	0.0	1.0	13.389685621117698	2.935595764709489	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient25	341.0	346.0	248542.2740524781	177800.61664953752	1372.0	1946.0	108.0	125.0	108.0	114.0	115.0	117.0	3.0	6.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	43.0	298.0	8.0	338.0	0.126099706744868	0.0231213872832369	0.6901056458025674	4.711534879942023	0.6528546539373214	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient26	668.0	201.0	395266.2721893491	136827.7739959156	1690.0	1469.0	241.0	219.0	208.0	64.0	65.0	72.0	1.0	10.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	123.0	545.0	4.0	197.0	0.1841317365269461	0.0199004975124378	0.8049279065522906	8.704083883863087	1.7030733030303382	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient29	61.0	35.0	58429.11877394636	18847.60366182014	1044.0	1857.0	21.0	20.0	20.0	13.0	9.0	13.0	24.0	29.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	25.0	36.0	0.0	35.0	0.4098360655737705	0.0	1.0	9.798758393786324	1.9910215746430544	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
SRSF6	Patient30	496.0	127.0	299155.6091676719	70243.36283185841	1658.0	1808.0	168.0	183.0	145.0	39.0	45.0	43.0	2.0	14.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	42.0	454.0	2.0	125.0	0.0846774193548387	0.0157480314960629	0.6863736958583623	2.607913253850564	0.0995082428633631	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
VTA1	Patient10	741.0	1255.0	531563.8450502153	575688.0733944954	1394.0	2180.0	237.0	269.0	235.0	413.0	427.0	415.0	17.0	14.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	28.0	713.0	37.0	1218.0	0.0377867746288798	0.0294820717131474	0.1234554086672954	0.4122195379791392	0.7373435869584775	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
VTA1	Patient18	483.0	699.0	488866.3967611336	503965.3929343908	988.0	1387.0	159.0	166.0	158.0	217.0	256.0	226.0	23.0	21.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	15.0	468.0	12.0	687.0	0.031055900621118	0.0171673819742489	0.2880044223327805	0.5221727772026239	1.0033794956744804	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
VTA1	Patient20	1110.0	862.0	587923.7288135594	495972.3820483314	1888.0	1738.0	354.0	395.0	361.0	278.0	308.0	276.0	10.0	23.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	51.0	1059.0	19.0	843.0	0.0459459459459459	0.0220417633410672	0.3515956465596754	1.3237629209970727	2.942856348090845	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
VTA1	Patient21	626.0	737.0	441778.4050811574	554969.8795180722	1417.0	1328.0	203.0	213.0	210.0	247.0	240.0	250.0	28.0	16.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	20.0	606.0	15.0	722.0	0.0319488817891373	0.0203527815468114	0.2217157065893078	0.4827860147223505	0.9080817743720336	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
VTA1	Patient22	754.0	1319.0	617526.6175266175	626305.7929724597	1221.0	2106.0	229.0	272.0	253.0	433.0	446.0	440.0	4.0	8.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	20.0	734.0	21.0	1298.0	0.026525198938992	0.0159211523881728	0.2498223338229023	0.4806995791988815	0.9030335668396005	1.0	1.0	1.0	1.0	1.0		NMD_rare_steady_state_transcript_gene_top_ranked_data.tsv.gz																																										
