Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score
PB.161541.3	Patient19	1	3	2	8	5	8	6	21	1229	1548	4882.017900732303	13565.891472868218	7.0	2.0	2822.865208186309	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	6.0	22.0	1.0	0.9545454545454546	-0.2307692307692307	2.1646184712917043	4.087673572929198	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161541.3	Patient31	0	2	1	3	9	6	3	18	966	1858	3105.590062111801	9687.83638320775	14.0	4.0	2822.865208186309	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	3.0	18.0	1.0	1.0	0.2	2.0103810896810197	3.7964111277780352	1.0	1.0	1.0	1.0	3.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.18	Patient17	12	13	6	7	2	8	31	17	975	1227	31794.8717948718	13854.930725346372	20.0	27.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	56.0	25.0	0.5535714285714286	0.68	-0.6	5.26513146048854	2.4188922146371814	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.18	Patient2	13	7	17	18	19	9	37	46	1277	1085	28974.15818324197	42396.3133640553	21.0	15.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	88.0	62.0	0.4204545454545454	0.7419354838709677	0.3571428571428571	4.807354922057604	2.1576576948130914	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.18	Patient22	11	9	5	8	14	10	25	32	1221	2106	20475.02047502048	15194.681861348528	25.0	26.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	58.0	43.0	0.4310344827586206	0.7441860465116279	0.1666666666666666	2.0515826300241	0.5850501209924117	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.18	Patient8	56	62	51	37	42	18	169	97	1359	1179	124356.1442236939	82273.11280746396	3.0	3.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	217.0	262.0	0.7788018433179723	0.3702290076335878	0.4	6.9603091688451935	3.386261438444316	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.19	Patient11	43	51	29	27	37	17	123	81	1367	2226	89978.05413313826	36388.14016172507	2.0	1.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	299.0	1145.0	0.411371237458194	0.0707423580786026	0.3703703703703703	6.203783183616951	3.632179155569909	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.19	Patient15	7	11	14	18	19	14	32	51	1376	2573	23255.81395348837	19821.220365332298	6.0	7.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	324.0	294.0	0.0987654320987654	0.173469387755102	0.1515151515151515	2.093612720675438	1.225764385827521	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.22	Patient13	0	0	0	9	7	14	0	30	2218	2495	0.0	12024.048096192384	25.5	1.0	813.6696501220504	0.0	1372.4935552085096	1686.99992983565	SRSF6	387.0	696.0	0.0	0.043103448275862	-0.3333333333333333	3.983351363645504	5.244360114859297	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.263	Patient28	25	19	25	34	17	30	69	81	1473	1202	46843.17718940937	67387.68718801996	1.0	1.0	0.0	0.0	1541.5311049250515	2173.7963609038698	SRSF6	299.0	165.0	0.2307692307692307	0.4909090909090909	-0.2765957446808511	4.356304669354096	5.5677643628300215	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.31	Patient25	2	2	1	5	12	5	5	22	1372	1946	3644.314868804665	11305.24152106886	12.0	1.0	3036.4372469635628	1843.3179723502303	3514.1734442161	2625.086178446902	SRSF6	341.0	346.0	0.0146627565982404	0.0635838150289017	0.4117647058823529	4.559471676465313	4.563310653741619	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.31	Patient26	4	3	8	2	7	3	15	12	1690	1469	8875.739644970414	8168.822328114363	3.0	3.0	3036.4372469635628	1843.3179723502303	3514.1734442161	2625.086178446902	SRSF6	668.0	201.0	0.0224550898203592	0.0597014925373134	0.4	3.321928094887362	3.3247250870335394	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.38	Patient6	0	0	0	10	7	10	0	27	1602	1714	0.0	15752.625437572928	30.5	8.0	12307.692307692309	1843.3179723502303	24056.45237058164	27881.244818305106	SRSF6	77.0	89.0	0.0	0.3033707865168539	-0.1764705882352941	1.877909669275449	2.5498501293290468	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161551.53	Patient30	36	29	34	9	9	12	99	30	1658	1808	59710.49457177322	16592.920353982303	1.0	1.0	0.0	0.0	2860.460827323184	1015.3048038106308	SRSF6	496.0	127.0	0.1995967741935483	0.2362204724409448	-0.1428571428571428	1.6625431975416274	3.607833687103644	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
