Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.4	Patient14	0	3	1	0	0	0	4	0	1161	1708	3445.305770887166	0.0	6.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.0	0.0034453057708871662	0.0	1.0	0.0	1.0	138.08704148430022	3.785615021323997	1.0	1.0	1.0	1.0	1.0	
PB.161541.4	Patient7	2	0	0	0	0	0	2	0	1726	1705	1158.7485515643104	0.0	14.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	2.0	0.6666666666666666	0.0	0.0011587485515643105	0.0	1.0	0.0	1.0	103.63683910142653	2.8411730068784498	1.0	1.0	1.0	1.0	1.0	
PB.161551.113	Patient16	4	0	1	0	0	0	5	0	1395	1271	3584.2293906810037	0.0	3.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	93.0	54.0	0.053763440860215055	0.0	0.0035842293906810036	0.0	1.0	0.0	1.0	139.43006566323675	2.367070112271565	1.0	1.0	1.0	1.0	1.0	
PB.161551.121	Patient25	1	0	0	0	0	0	1	0	1372	1946	728.862973760933	0.0	5.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	341.0	346.0	0.002932551319648094	0.0	0.0007288629737609329	0.0	1.0	0.0	1.0	90.48707464180796	1.7229254038272983	1.0	1.0	1.0	1.0	2.0	
PB.161551.166	Patient19	1	0	0	0	0	0	1	0	1229	1548	813.6696501220504	0.0	2.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	74.0	31.0	0.013513513513513514	0.0	0.0008136696501220504	0.0	1.0	0.0	1.0	93.52739414924416	2.580825808676081	1.0	1.0	1.0	1.0	2.0	
PB.161551.166	Patient28	6	0	5	0	0	0	11	0	1473	1202	7467.75288526816	0.0	1.0	16.5	0.0	0.0	284.10273841308265	27.36052969985499	SRSF6	299.0	165.0	0.03678929765886288	0.0	0.00746775288526816	0.0	1.0	0.0	1.0	165.55320989076677	4.568329960240981	1.0	1.0	1.0	1.0	1.0	
PB.161551.19	Patient29	2	1	0	0	0	0	3	0	1044	1857	2873.5632183908046	0.0	21.0	29.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	61.0	35.0	0.04918032786885246	0.0	0.0028735632183908046	0.0	1.0	0.0	1.0	132.00580543077047	4.134115071666898	1.0	1.0	1.0	1.0	1.0	
PB.161551.19	Patient30	0	0	2	0	0	0	2	0	1658	1808	1206.2726176115802	0.0	25.0	29.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	496.0	127.0	0.004032258064516129	0.0	0.0012062726176115801	0.0	1.0	0.0	1.0	104.81936760362261	3.25887862892693	1.0	1.0	1.0	1.0	1.0	
PB.161551.263	Patient24	0	1	0	0	0	0	1	0	1059	1661	944.2870632672333	0.0	2.0	16.5	0.0	0.0	1541.5311049250517	2173.7963609038698	SRSF6	27.0	41.0	0.037037037037037035	0.0	0.0009442870632672333	0.0	1.0	0.0	1.0	97.72056706556404	5.533310373668673	1.0	1.0	1.0	1.0	1.0	
PB.161551.31	Patient10	3	4	5	0	0	0	12	0	1394	2180	8608.32137733142	0.0	5.0	26.5	3036.4372469635628	1843.3179723502303	3514.1734442160996	2625.086178446902	SRSF6	248.0	345.0	0.04838709677419355	0.0	0.00860832137733142	0.0	1.0	0.0	1.0	170.87110790571364	3.829838145598637	1.0	1.0	1.0	1.0	1.0	
PB.161551.31	Patient22	0	0	1	0	0	0	1	0	1221	2106	819.0008190008191	0.0	21.0	26.5	3036.4372469635628	1843.3179723502303	3514.1734442160996	2625.086178446902	SRSF6	58.0	43.0	0.017241379310344827	0.0	0.000819000819000819	0.0	1.0	0.0	1.0	93.7093824259482	2.0976782076602127	1.0	1.0	1.0	1.0	2.0	
PB.161551.35	Patient15	0	0	1	0	0	0	1	0	1376	2573	726.7441860465116	0.0	5.0	17.5	0.0	0.0	1437.072684758524	111.6836721251508	SRSF6	324.0	294.0	0.0030864197530864196	0.0	0.0007267441860465116	0.0	1.0	0.0	1.0	90.40735198506631	2.5688798774859603	1.0	1.0	1.0	1.0	2.0	
PB.161551.53	Patient13	0	0	1	0	0	0	1	0	2218	2495	450.8566275924256	0.0	5.0	18.0	0.0	0.0	2860.4608273231834	1015.3048038106307	SRSF6	387.0	696.0	0.002583979328165375	0.0	0.0004508566275924256	0.0	1.0	0.0	1.0	77.81561197144534	2.9991103142580195	1.0	1.0	1.0	1.0	1.0	
PB.161551.53	Patient31	1	0	1	0	0	0	2	0	966	1858	2070.393374741201	0.0	4.0	18.0	0.0	0.0	2860.4608273231834	1015.3048038106307	SRSF6	153.0	125.0	0.013071895424836602	0.0	0.002070393374741201	0.0	1.0	0.0	1.0	121.36842796245614	4.677689925012136	1.0	1.0	1.0	1.0	1.0	
PB.161551.569	Patient17	0	1	0	0	0	0	1	0	975	1227	1025.6410256410256	0.0	8.0	21.0	0.0	0.0	1084.2824272136497	368.18156622775007	SRSF6	56.0	25.0	0.017857142857142856	0.0	0.0010256410256410256	0.0	1.0	0.0	1.0	100.08838682616285	3.9651653469381167	1.0	1.0	1.0	1.0	2.0	
PB.161551.572	Patient4	0	2	0	0	0	0	2	0	1554	1450	1287.001287001287	0.0	6.0	25.0	0.0	831.9467554076539	982.1561990253622	802.0300453852691	SRSF6	197.0	100.0	0.01015228426395939	0.0	0.001287001287001287	0.0	1.0	0.0	1.0	106.73944053842546	4.688734609026589	1.0	1.0	1.0	1.0	2.0	
PB.161551.582	Patient12	1	0	0	0	0	0	1	0	1791	2004	558.3472920156337	0.0	14.0	22.0	0.0	0.0	1579.6408362637187	696.1926290120907	SRSF6	223.0	348.0	0.004484304932735426	0.0	0.0005583472920156337	0.0	1.0	0.0	1.0	83.33661226382472	2.518650707517808	1.0	1.0	1.0	1.0	1.0	
PB.161551.582	Patient18	2	0	3	0	0	0	5	0	988	1387	5060.728744939272	0.0	3.0	22.0	0.0	0.0	1579.6408362637187	696.1926290120907	SRSF6	157.0	82.0	0.03184713375796178	0.0	0.005060728744939271	0.0	1.0	0.0	1.0	151.4267324948669	4.576512490427488	1.0	1.0	1.0	1.0	1.0	
PB.161551.598	Patient27	1	2	8	0	0	1	11	1	917	1439	11995.637949836422	694.9270326615705	1.0	6.0	0.0	0.0	696.8469069485643	329.5465345074112	SRSF6	92.0	45.0	0.11956521739130435	0.022222222222222223	0.011995637949836423	0.0006949270326615705	0.945240654484653	0.05475934551534695	0.890481308969306	55.65920731443527	4.9821612440158605	1.0	1.0	1.0	1.0	2.0	
PB.161551.604	Patient1	1	0	1	0	0	0	2	0	1902	1717	1051.5247108307044	0.0	12.0	25.0	0.0	645.9948320413437	1393.892593594069	1060.6167864373883	SRSF6	191.0	95.0	0.010471204188481676	0.0	0.0010515247108307045	0.0	1.0	0.0	1.0	100.80809378503749	4.56717276509249	1.0	1.0	1.0	1.0	2.0	
PB.161551.68	Patient26	3	6	2	0	0	0	11	0	1690	1469	6508.87573964497	0.0	3.0	21.0	957.8544061302681	0.0	2086.813695866513	2040.7351218753147	SRSF6	668.0	201.0	0.016467065868263474	0.0	0.00650887573964497	0.0	1.0	0.0	1.0	160.49152794020398	2.238776399369391	1.0	1.0	1.0	1.0	1.0	
PB.59138.482	Patient23	0	1	0	0	0	0	1	0	665	1159	1503.7593984962407	0.0	5.0	21.5	0.0	0.0	541.314056630287	756.8068499073898	HARS1	495.0	545.0	0.00202020202020202	0.0	0.0015037593984962407	0.0	1.0	0.0	1.0	111.42483593881268	3.352913838762689	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.482	Patient6	0	1	1	0	0	0	2	0	1602	1714	1248.4394506866417	0.0	6.0	21.5	0.0	0.0	541.314056630287	756.8068499073898	HARS1	657.0	531.0	0.0030441400304414	0.0	0.0012484394506866417	0.0	1.0	0.0	1.0	105.83558538668355	3.184726240668879	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.484	Patient3	0	1	0	0	0	0	1	0	1987	2019	503.27126321087064	0.0	15.0	25.5	0.0	538.2131324004305	1615.341774683844	1397.475271755191	HARS1	609.0	838.0	0.0016420361247947454	0.0	0.0005032712632108706	0.0	1.0	0.0	1.0	80.63115352051496	3.3842924374831806	1.0	1.0	1.0	1.0	2.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.484	Patient9	0	0	1	0	0	0	1	0	1722	1493	580.7200929152149	0.0	13.0	25.5	0.0	538.2131324004305	1615.341774683844	1397.475271755191	HARS1	592.0	547.0	0.0016891891891891893	0.0	0.0005807200929152149	0.0	1.0	0.0	1.0	84.37194430904054	3.5413028413166425	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.488	Patient20	3	3	0	0	0	0	6	0	1888	1738	3177.9661016949153	0.0	3.0	23.5	726.7441860465116	0.0	1231.04416041569	865.7269389952993	HARS1	715.0	781.0	0.008391608391608392	0.0	0.0031779661016949155	0.0	1.0	0.0	1.0	135.36319097664926	2.352717149516757	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.59138.501	Patient2	18	26	30	0	0	0	74	0	1277	1085	57948.316366483945	0.0	1.0	16.0	0.0	0.0	1869.300527951095	0.0	HARS1	145.0	71.0	0.5103448275862069	0.0	0.05794831636648395	0.0	1.0	0.0	1.0	250.3520274138196	5.567764362830022	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
PB.70308.19	Patient11	0	0	3	0	0	0	3	0	1367	2226	2194.5866861741038	0.0	12.0	31.0	1930.5019305019305	1725.625539257981	2222.732069702248	2316.8778126739057	VTA1	810.0	640.0	0.003703703703703704	0.0	0.0021945866861741038	0.0	1.0	0.0	1.0	123.22596776535738	5.106080066490482	1.0	1.0	1.0	1.0	1.0	
PB.70308.26	Patient21	2	2	2	0	0	0	6	0	1417	1328	4234.297812279464	0.0	15.0	30.0	4206.098843322818	2927.4004683840753	4173.6359825870595	3414.373282954469	VTA1	626.0	737.0	0.009584664536741214	0.0	0.004234297812279464	0.0	1.0	0.0	1.0	145.16437630484845	3.7380102177118584	1.0	1.0	1.0	1.0	1.0	
PB.70308.42	Patient5	6	3	3	3	0	2	12	5	1596	1993	7518.796992481202	2508.7807325639737	22.0	31.0	10647.010647010646	12436.844150796735	9958.494907074535	12753.648649879153	VTA1	676.0	862.0	0.01775147928994083	0.00580046403712297	0.007518796992481203	0.002508780732563974	0.7498118886380738	0.25018811136192626	0.49962377727614754	20.38547305303627	2.44611757006667	1.0	1.0	1.0	1.0	1.0	
