Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient1	0	0	0	0	0	0	0	0	1902	1717	0.0	0.0	30.0	31.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	0.0	0.0			4320.504916696668	3961.8309823565796	-1.090532366458183	101.67834770921837	5.257206020128558	1.0	1.0	1.0	1.0	1.0	
PB.161541.3	Patient10	0	0	2	0	1	0	2	1	1394	2180	1434.7202295552368	458.7155963302753	22.0	29.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	3.0	2.0	0.6666666666666666	0.5	4320.504916696668	3961.8309823565796	-0.9747486295009284	-103.96171035371529	0.726406037635999						
PB.161541.3	Patient11	0	2	1	1	1	2	3	4	1367	2226	2194.5866861741038	1796.9451931716083	17.0	22.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	6.0	5.0	0.5	0.8	4320.504916696668	3961.8309823565796	-0.6369680419895131	-127.08863631810817	0.21685805976823225						
PB.161541.3	Patient12	0	0	0	0	1	0	0	1	1791	2004	0.0	499.00199600798396	30.0	28.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	2.0	4.0	0.0	0.25	4320.504916696668	3961.8309823565796	-0.9645799979118682	-105.38623559108628	0.6950199400957745						
PB.161541.3	Patient13	0	0	1	1	0	0	1	1	2218	2495	450.8566275924256	400.80160320641284	28.0	30.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	2.0	3.0	0.5	0.3333333333333333	4320.504916696668	3961.8309823565796	-0.989366616331203	-101.67834770921837	0.7767146182071283						
PB.161541.3	Patient14	2	2	1	2	0	4	5	6	1161	1708	4306.632213608958	3512.88056206089	10.0	14.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	6.0	0.5555555555555556	1.0	4320.504916696668	3961.8309823565796	-0.20385128952557852	-137.0673139210362	-0.01895767096803911						
PB.161541.3	Patient16	3	0	0	1	0	1	3	2	1395	1271	2150.537634408602	1573.5641227380015	18.0	23.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	3.0	3.0	1.0	0.6666666666666666	4320.504916696668	3961.8309823565796	-0.6933513333081991	-124.83891153294734	0.26642550841240803						
PB.161541.3	Patient22	0	2	3	1	2	2	5	5	1221	2106	4095.0040950040952	2374.1690408357076	11.0	19.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	6.0	0.5555555555555556	0.8333333333333334	4320.504916696668	3961.8309823565796	-0.4912718095569134	-131.8101013638761	0.11283156829467997						
PB.161541.3	Patient23	1	1	0	3	2	0	2	5	665	1159	3007.5187969924814	4314.063848144952	15.0	12.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	7.0	14.0	0.2857142857142857	0.35714285714285715	4320.504916696668	3961.8309823565796	-0.0016257807514758395	-140.515472544272	-0.09492981947330319						
PB.161541.3	Patient24	1	0	0	0	2	0	1	2	1059	1661	944.2870632672333	1204.0939193257075	24.0	25.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	2.0	11.0	0.5	0.18181818181818182	4320.504916696668	3961.8309823565796	-0.7866087703512417	-120.3040362869474	0.3663409279990648						
