sample,individual,condition,bam_file,haplotype
Sample1H0,Patient1,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample1_untreated_hg38_example.bam,H0
Sample1H1,Patient1,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample1_untreated_hg38_example.bam,H1
Sample1H2,Patient1,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample1_untreated_hg38_example.bam,H2
Sample2H0,Patient1,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample2_treated_hg38_example.bam,H0
Sample2H1,Patient1,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample2_treated_hg38_example.bam,H1
Sample2H2,Patient1,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample2_treated_hg38_example.bam,H2
Sample3H0,Patient2,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample3_untreated_hg38_example.bam,H0
Sample3H1,Patient2,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample3_untreated_hg38_example.bam,H1
Sample3H2,Patient2,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample3_untreated_hg38_example.bam,H2
Sample4H0,Patient2,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample4_treated_hg38_example.bam,H0
Sample4H1,Patient2,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample4_treated_hg38_example.bam,H1
Sample4H2,Patient2,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample4_treated_hg38_example.bam,H2
Sample5H0,Patient3,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample5_untreated_hg38_example.bam,H0
Sample5H1,Patient3,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample5_untreated_hg38_example.bam,H1
Sample5H2,Patient3,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample5_untreated_hg38_example.bam,H2
Sample6H0,Patient3,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample6_treated_hg38_example.bam,H0
Sample6H1,Patient3,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample6_treated_hg38_example.bam,H1
Sample6H2,Patient3,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample6_treated_hg38_example.bam,H2
Sample7H0,Patient4,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample7_untreated_hg38_example.bam,H0
