Sample,Cyclo Unique associated_gene,Cyclo Total Reads,Cyclo Unique associated_gene >1,Cyclo Unique associated_gene >10,Cyclo Unique associated_gene >100,Cyclo Unique associated_gene >1000,Noncyclo Unique associated_gene,Noncyclo Total Reads,Noncyclo Unique associated_gene >1,Noncyclo Unique associated_gene >10,Noncyclo Unique associated_gene >100,Noncyclo Unique associated_gene >1000
Patient1,4,1902,4,3,3,1,3,1717,3,3,2,0
Patient10,4,1394,4,3,3,0,5,2180,5,4,3,1
Patient11,4,1367,4,3,3,0,5,2226,5,3,3,1
Patient12,4,1791,4,3,3,1,5,2004,5,3,3,1
Patient13,4,2218,4,3,3,1,5,2495,5,4,3,1
Patient14,4,1161,4,3,3,0,4,1708,4,3,2,1
Patient15,5,1376,5,3,3,0,5,2573,4,4,3,1
Patient16,5,1395,5,3,2,0,4,1271,4,3,2,0
Patient17,5,975,5,3,2,0,4,1227,4,4,2,0
Patient18,5,988,5,4,3,0,4,1387,4,4,2,0
Patient19,5,1229,5,3,2,0,5,1548,4,4,2,0
Patient2,5,1277,5,4,2,1,5,1085,5,3,1,0
Patient20,5,1888,4,3,2,1,5,1738,4,4,2,0
Patient21,5,1417,5,3,3,0,4,1328,4,3,3,0
Patient22,5,1221,5,3,2,0,4,2106,4,3,2,1
Patient23,5,665,5,3,2,0,5,1159,4,4,2,0
Patient24,5,1059,5,3,2,0,4,1661,4,4,2,0
Patient25,5,1372,5,3,3,0,4,1946,4,3,3,0
Patient26,5,1690,5,4,3,0,4,1469,4,4,3,0
Patient27,5,917,5,4,2,0,5,1439,5,4,2,0
Patient28,5,1473,4,4,3,0,4,1202,4,3,3,0
Patient29,5,1044,5,4,2,0,4,1857,4,3,2,1
Patient3,5,1987,4,3,3,0,5,2019,5,3,3,0
Patient30,5,1658,5,5,3,0,4,1808,4,4,3,1
Patient31,5,966,5,3,3,0,4,1858,4,4,3,1
Patient4,5,1554,5,3,3,0,4,1450,4,3,2,0
Patient5,4,1596,4,3,3,0,5,1993,5,3,3,0
Patient6,4,1602,4,3,2,0,5,1714,4,4,2,1
Patient7,4,1726,4,3,3,0,5,1705,5,3,3,0
Patient8,4,1359,4,3,3,0,5,1179,5,3,3,0
Patient9,5,1722,4,2,2,1,5,1493,5,4,2,0
