Sample	Cyclo Unique Isoform	Cyclo Total Reads	Cyclo Unique Isoform >1	Cyclo Unique Isoform >10	Cyclo Unique Isoform >100	Cyclo Unique Isoform >1000	Noncyclo Unique Isoform	Noncyclo Total Reads	Noncyclo Unique Isoform >1	Noncyclo Unique Isoform >10	Noncyclo Unique Isoform >100	Noncyclo Unique Isoform >1000
Patient1	36	1902	27	8	5	0	21	1717	18	7	4	0
Patient10	25	1394	22	12	4	0	34	2180	29	14	6	0
Patient11	28	1367	24	12	5	0	33	2226	31	17	6	0
Patient12	23	1791	18	11	5	0	33	2004	29	13	6	0
Patient13	25	2218	18	10	6	0	30	2495	28	18	7	0
Patient14	25	1161	23	8	4	0	21	1708	18	9	5	0
Patient15	36	1376	29	9	4	0	28	2573	24	12	6	0
Patient16	27	1395	23	13	3	0	24	1271	20	8	3	0
Patient17	30	975	20	9	3	0	20	1227	19	7	3	0
Patient18	32	988	27	11	2	0	25	1387	22	10	4	0
Patient19	31	1229	24	8	3	0	28	1548	19	10	3	0
Patient2	29	1277	20	11	3	0	20	1085	18	7	3	0
Patient20	30	1888	28	10	4	0	28	1738	24	8	3	0
Patient21	33	1417	29	9	5	0	23	1328	20	9	4	0
Patient22	29	1221	25	7	3	0	23	2106	16	7	5	0
Patient23	26	665	17	5	1	0	19	1159	17	9	3	0
Patient24	28	1059	19	8	2	0	24	1661	20	9	3	0
Patient25	32	1372	27	10	4	0	30	1946	25	11	4	0
Patient26	32	1690	29	15	6	0	27	1469	24	11	5	0
Patient27	32	917	31	12	2	0	26	1439	22	8	3	0
Patient28	30	1473	27	15	4	0	25	1202	20	9	3	0
Patient29	35	1044	26	7	3	0	25	1857	22	11	5	0
Patient3	32	1987	28	13	5	0	25	2019	18	10	5	0
Patient30	36	1658	33	11	5	0	25	1808	20	11	4	0
Patient31	26	966	23	10	3	0	22	1858	20	12	4	0
Patient4	31	1554	29	11	4	0	27	1450	22	7	3	0
Patient5	22	1596	19	10	5	0	35	1993	31	16	6	0
Patient6	20	1602	17	8	4	0	26	1714	22	8	5	0
Patient7	23	1726	19	8	4	0	28	1705	23	9	5	0
Patient8	27	1359	20	9	4	0	32	1179	28	10	4	0
Patient9	19	1722	15	9	5	0	24	1493	20	6	4	0
