associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
DND1_HARS1	Patient17	6	0	6153.846153846154	0.0	975	1227	8.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.3354098741944542	-23.893419457111293	0.14088847562431386						
DND1_HARS1	Patient2	32	6	25058.731401722787	5529.9539170506905	1277	1085	1.0	6.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	3.9285351118070526	10.482908864446657	0.643940024077081						
DND1_HARS1	Patient21	7	0	4940.014114326041	0.0	1417	1328	10.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.10470492792071978	-27.631712600838167	0.08618355958641226						
DND1_HARS1	Patient22	6	0	4914.004914004914	0.0	1221	2106	11.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.09976153298027927	-27.721530050656607	0.08486920143895094						
DND1_HARS1	Patient23	9	1	13533.834586466164	862.8127696289905	665	1159	2.0	13.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	1.738074970694544	-10.482908864446657	0.3371333466901846						
DND1_HARS1	Patient24	7	0	6610.0094428706325	0.0	1059	1661	7.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.4221097829627615	-22.676702403798572	0.15869350098864318						
DND1_HARS1	Patient26	8	0	4733.7278106508875	0.0	1690	1469	12.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.06549746835720503	-28.357461152572657	0.07556320102681485						
DND1_HARS1	Patient28	15	0	10183.299389002037	0.0	1473	1202	4.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	1.1012611302683053	-15.323111363097361	0.2663034622710204						
DND1_HARS1	Patient29	9	0	8620.689655172413	0.0	1044	1857	5.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.8042663377824341	-18.157706708261685	0.22482295381521528						
DND1_HARS1	Patient30	12	0	7237.6357056694815	0.0	1658	1808	6.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.5413985136311645	-21.133246352679766	0.18127991420942896						
DND1_HARS1	Patient31	10	0	10351.966873706004	0.0	966	1858	3.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	1.1333186322371431	-15.043578582306989	0.27039405033221603						
DND1_HARS1	Patient4	8	0	5148.005148005148	0.0	1554	1450	9.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	4389.119136742791	5261.404487097065	0.1442363941269731	-26.93001759092115	0.09645192675984801						
