Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient10	2	1	1394	2180	1434.7202295552368	458.7155963302753	22.0	29.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	3.0	2.0	0.6666666666666666	0.5	0.0014347202295552368	0.00045871559633027525	0.7577337504344803	0.24226624956551965	0.5154675008689606	17.232302040592508	1.4619427971836843						
PB.161541.3	Patient11	3	4	1367	2226	2194.5866861741038	1796.9451931716083	17.0	22.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	6.0	5.0	0.5	0.8	0.0021945866861741038	0.0017969451931716084	0.5498106372468302	0.4501893627531698	0.09962127449366043	3.1999597334609113	0.4093048815513777						
PB.161541.3	Patient13	1	1	2218	2495	450.8566275924256	400.80160320641284	28.0	30.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	2.0	3.0	0.5	0.3333333333333333	0.0004508566275924256	0.0004008016032064128	0.5293868024612773	0.4706131975387227	0.05877360492255462	1.4944401460440229	0.28136511609567255						
PB.161541.3	Patient14	5	6	1161	1708	4306.632213608958	3512.88056206089	10.0	14.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	6.0	0.5555555555555556	1.0	0.004306632213608958	0.00351288056206089	0.5507545466271121	0.44924545337288785	0.10150909325422425	3.547412845281826	0.4353691202509458						
PB.161541.3	Patient16	3	2	1395	1271	2150.537634408602	1573.5641227380015	18.0	23.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	3.0	3.0	1.0	0.6666666666666666	0.002150537634408602	0.0015735641227380016	0.5774647887323944	0.4225352112676056	0.15492957746478875	4.986921295381334	0.5433540269245618						
PB.161541.3	Patient18	9	10	988	1387	9109.311740890687	7209.805335255947	3.0	6.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	21.0	12.0	0.42857142857142855	0.8333333333333334	0.009109311740890687	0.007209805335255948	0.5581988105352591	0.4418011894647409	0.11639762107051821	4.437182829522765	0.5021153270568877						
PB.161541.3	Patient22	5	5	1221	2106	4095.0040950040952	2374.1690408357076	11.0	19.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	6.0	0.5555555555555556	0.8333333333333334	0.004095004095004095	0.0023741690408357074	0.6330027051397655	0.3669972948602344	0.2660054102795311	9.434521578352147	0.8769913191856469						
PB.161541.3	Patient25	6	3	1372	1946	4373.1778425655975	1541.623843782117	9.0	24.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	6.0	0.6666666666666666	0.5	0.004373177842565598	0.001541623843782117	0.7393617021276596	0.26063829787234044	0.4787234042553192	18.186540551829264	1.5335251186164958						
PB.161541.3	Patient27	13	6	917	1439	14176.663031624863	4169.562195969423	1.0	13.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	21.0	11.0	0.6190476190476191	0.5454545454545454	0.014176663031624863	0.004169562195969423	0.7727291503159983	0.22727084968400182	0.5454583006319965	24.34610053084829	1.995585281888848						
PB.161541.3	Patient29	4	4	1044	1857	3831.4176245210724	2154.0118470651587	12.0	20.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	13.0	8.0	0.3076923076923077	0.5	0.0038314176245210726	0.002154011847065159	0.640124095139607	0.359875904860393	0.280248190279214	9.88731918701757	0.910957988509743						
PB.161541.3	Patient4	9	3	1554	1450	5791.505791505791	2068.9655172413795	6.0	21.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	6.0	1.0	0.5	0.005791505791505791	0.0020689655172413794	0.7367886178861788	0.2632113821138211	0.47357723577235766	18.557588540778863	1.5613593299789825						
PB.161541.3	Patient5	7	7	1596	1993	4385.964912280701	3512.2930255895635	8.0	15.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	7.0	9.0	1.0	0.7777777777777778	0.0043859649122807015	0.0035122930255895636	0.5553078852047925	0.44469211479520765	0.11061577040958481	3.8766183665635547	0.4600645136608207						
PB.161541.3	Patient6	2	1	1602	1714	1248.4394506866417	583.4305717619603	23.0	27.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	2.0	1.0	1.0	1.0	0.0012484394506866417	0.0005834305717619603	0.6815109343936382	0.3184890656063618	0.3630218687872764	11.277714049105214	1.0152586332274802						
PB.161541.3	Patient8	5	4	1359	1179	3679.175864606328	3392.705682782019	13.0	16.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	6.0	5.0	0.8333333333333334	0.8	0.003679175864606328	0.0033927056827820186	0.5202541699761716	0.4797458300238284	0.04050833995234315	1.3849487044828988	0.2731516018938488						
PB.161541.4	Patient10	1	1	1394	2180	717.3601147776184	458.7155963302753	19.0	23.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	2.0	0.3333333333333333	0.5	0.0007173601147776184	0.00045871559633027525	0.6099608282036934	0.39003917179630665	0.2199216564073867	6.111601199211046	0.1675477224755051						
