associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
DND1_HARS1	Patient10	0	17	0.0	7798.165137614679	1394	2180	27.0	3.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	1.6180884368385122	-5.381538190074283	1.4128007896016381	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient11	0	5	0.0	2246.1814914645106	1367	2226	27.0	10.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	0.0069760818521890896	-19.05578861175312	1.158578751668064						
DND1_HARS1	Patient12	0	10	0.0	4990.0199600798405	1791	2004	27.0	7.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	0.803201780380362	-10.286839847120248	1.321604874251416	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient13	0	25	0.0	10020.040080160321	2218	2495	27.0	2.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	2.2628472112365645	-2.626883336461942	1.464013393517295	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient2	32	6	25058.731401722787	5529.9539170506905	1277	1085	1.0	6.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	0.9598834863064212	-9.158033244191259	1.3425908519964578						
DND1_HARS1	Patient5	0	5	0.0	2508.7807325639737	1596	1993	27.0	9.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	0.08317891469712108	-17.84128170793936	1.1811580090789444						
DND1_HARS1	Patient6	0	13	0.0	7584.597432905484	1602	1714	27.0	4.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	1.5561139085234577	-5.686655724795199	1.4071282591817589	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient7	0	8	0.0	4692.08211143695	1726	1705	27.0	8.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	0.7167441501783255	-10.96323094779111	1.3090298870491874	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient8	0	7	0.0	5937.234944868533	1359	1179	27.0	5.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	1.0780710635201718	-8.377235386376361	1.3571068961310002	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient9	1	19	580.7200929152149	12726.054922973877	1722	1493	21.0	1.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	3.0480969929170945	2.626883336461942	1.5616877251428691	1.0	1.0	1.0	1.0	1.0	
