Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient15	2	13	1376	2573	1453.4883720930231	5052.467936261173	21.0	11.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	6.0	15.0	0.3333333333333333	0.8666666666666667	4320.504916696668	3961.8309823565796	0.18475372190893366	-19.70031965667319	0.2689044182772751						
PB.161541.3	Patient17	6	8	975	1227	6153.846153846154	6519.967400162999	4.0	7.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	9.0	14.0	0.6666666666666666	0.5714285714285714	4320.504916696668	3961.8309823565796	0.5551631286799733	-15.420187295877238	0.41329974038902495						
PB.161541.3	Patient18	9	10	988	1387	9109.311740890687	7209.805335255947	3.0	6.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	21.0	12.0	0.42857142857142855	0.8333333333333334	4320.504916696668	3961.8309823565796	0.7292841192434371	-13.731995528690073	0.47025288423153516						
PB.161541.3	Patient19	6	21	1229	1548	4882.017900732303	13565.891472868218	7.0	2.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	6.0	22.0	1.0	0.9545454545454546	4320.504916696668	3961.8309823565796	2.3336145830916295	-3.1209495515749004	0.8282290570812926						
PB.161541.3	Patient2	2	9	1277	1085	1566.1707126076742	8294.930875576038	20.0	5.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	3.0	9.0	0.6666666666666666	1.0	4320.504916696668	3961.8309823565796	1.0031790797181606	-11.378542380648401	0.5496494067547762						
PB.161541.3	Patient20	3	9	1888	1738	1588.9830508474577	5178.3659378596085	19.0	10.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	8.0	13.0	0.375	0.6923076923076923	4320.504916696668	3961.8309823565796	0.21653145350806122	-19.287195686816915	0.2828416435009335						
PB.161541.3	Patient21	4	8	1417	1328	2822.8652081863092	6024.096385542169	16.0	8.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	4.0	8.0	1.0	1.0	4320.504916696668	3961.8309823565796	0.4300010465949178	-16.747958040583406	0.36850582557262634						
PB.161541.3	Patient26	17	24	1690	1469	10059.171597633136	16337.644656228726	2.0	1.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	18.0	26.0	0.9444444444444444	0.9230769230769231	4320.504916696668	3961.8309823565796	3.033228775545597	3.120949551574901	1.038806898048049						
PB.161541.3	Patient30	10	19	1658	1808	6031.363088057901	10508.849557522124	5.0	3.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	16.0	21.0	0.625	0.9047619047619048	4320.504916696668	3961.8309823565796	1.5619910764452902	-7.407318615412105	0.6836233324238632						
PB.161541.3	Patient31	3	18	966	1858	3105.590062111801	9687.83638320775	14.0	4.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	3.0	18.0	1.0	1.0	4320.504916696668	3961.8309823565796	1.3547603344043924	-8.772850743784069	0.637555492714919						
PB.161541.3	Patient9	0	8	1722	1493	0.0	5358.338914936369	30.0	9.0	2822.8652081863092	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	2.0	11.0	0.0	0.7272727272727273	4320.504916696668	3961.8309823565796	0.2619581710733091	-18.71374266058033	0.30218775886826077						
PB.161541.4	Patient12	2	3	1791	2004	1116.6945840312674	1497.005988023952	15.0	11.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	2.0	4.0	1.0	0.75	1465.670973255149	1777.0814532920956	0.017632852287526896	-23.009553325662463	0.19570118950870502						
PB.161541.4	Patient17	3	6	975	1227	3076.923076923077	4889.975550122249	8.0	3.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	14.0	0.3333333333333333	0.42857142857142855	1465.670973255149	1777.0814532920956	1.9269260677519735	-6.465310984099464	0.5632202633539362						
PB.161541.4	Patient20	5	4	1888	1738	2648.3050847457625	2301.4959723820484	10.0	5.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	8.0	13.0	0.625	0.3076923076923077	1465.670973255149	1777.0814532920956	0.47033578431563117	-16.999286992294703	0.3292151619710916						
PB.161541.4	Patient23	5	9	665	1159	7518.796992481202	7765.314926660914	4.0	1.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	7.0	14.0	0.7142857142857143	0.6428571428571429	1465.670973255149	1777.0814532920956	3.5449382141350303	5.030797526292977	0.8185984828780437						
PB.161541.4	Patient24	1	9	1059	1661	944.2870632672333	5418.4226369656835	16.0	2.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	2.0	11.0	0.5	0.8181818181818182	1465.670973255149	1777.0814532920956	2.2242940279343673	-5.030797526292977	0.5950870026428718						
PB.161541.4	Patient25	3	3	1372	1946	2186.5889212827988	1541.623843782117	12.0	10.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.3333333333333333	0.5	1465.670973255149	1777.0814532920956	0.04274023027265475	-22.599184699677863	0.20481724899594483						
PB.161541.4	Patient27	8	5	917	1439	8724.100327153763	3474.6351633078525	2.0	4.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	21.0	11.0	0.38095238095238093	0.45454545454545453	1465.670973255149	1777.0814532920956	1.1304851481799207	-11.241749412327742	0.45711493733298125						
PB.161541.4	Patient28	0	2	1473	1202	0.0	1663.8935108153078	26.5	9.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	1.0	5.0	0.0	0.4	1465.670973255149	1777.0814532920956	0.11154386716092599	-21.532691624448894	0.22850866617772878						
PB.161541.4	Patient29	9	4	1044	1857	8620.689655172413	2154.0118470651587	3.0	6.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	13.0	8.0	0.6923076923076923	0.5	1465.670973255149	1777.0814532920956	0.3873434571807826	-17.92485758882655	0.30865424165857963						
PB.161541.4	Patient4	0	3	1554	1450	0.0	2068.9655172413795	26.5	7.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.0	0.5	1465.670973255149	1777.0814532920956	0.3394861517847759	-18.487830749756412	0.2961481763802154						
PB.161541.4	Patient9	2	3	1722	1493	1161.4401858304298	2009.3770931011384	13.0	8.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	2.0	11.0	1.0	0.2727272727272727	1465.670973255149	1777.0814532920956	0.3059545294554495	-18.896238504337493	0.28707567631547876						
