Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Cyclo_TPM_Median,Noncyclo_TPM_Median,Cyclo_TPM_Mean,Noncyclo_TPM_Mean,associated_gene
PB.161541.3,Patient1,0,0,1902,1717,0.0,0.0,30.0,31.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient10,2,1,1394,2180,1434.7202295552368,458.7155963302753,22.0,29.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient11,3,4,1367,2226,2194.5866861741038,1796.9451931716083,17.0,22.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient12,0,1,1791,2004,0.0,499.00199600798396,30.0,28.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient13,1,1,2218,2495,450.8566275924256,400.80160320641284,28.0,30.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient14,5,6,1161,1708,4306.632213608958,3512.88056206089,10.0,14.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient15,2,13,1376,2573,1453.4883720930231,5052.467936261173,21.0,11.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient16,3,2,1395,1271,2150.537634408602,1573.5641227380015,18.0,23.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient17,6,8,975,1227,6153.846153846154,6519.967400162999,4.0,7.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient18,9,10,988,1387,9109.311740890687,7209.805335255947,3.0,6.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient19,6,21,1229,1548,4882.017900732303,13565.891472868218,7.0,2.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient2,2,9,1277,1085,1566.1707126076742,8294.930875576038,20.0,5.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient20,3,9,1888,1738,1588.9830508474577,5178.3659378596085,19.0,10.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient21,4,8,1417,1328,2822.8652081863092,6024.096385542169,16.0,8.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient22,5,5,1221,2106,4095.0040950040952,2374.1690408357076,11.0,19.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient23,2,5,665,1159,3007.5187969924814,4314.063848144952,15.0,12.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient24,1,2,1059,1661,944.2870632672333,1204.0939193257075,24.0,25.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient25,6,3,1372,1946,4373.1778425655975,1541.623843782117,9.0,24.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient26,17,24,1690,1469,10059.171597633136,16337.644656228726,2.0,1.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient27,13,6,917,1439,14176.663031624863,4169.562195969423,1.0,13.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient28,1,3,1473,1202,678.8866259334691,2495.840266222962,25.0,18.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient29,4,4,1044,1857,3831.4176245210724,2154.0118470651587,12.0,20.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient3,1,6,1987,2019,503.27126321087064,2971.7682020802376,27.0,17.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient30,10,19,1658,1808,6031.363088057901,10508.849557522124,5.0,3.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
PB.161541.3,Patient31,3,18,966,1858,3105.590062111801,9687.83638320775,14.0,4.0,2822.8652081863092,3392.705682782019,3374.349287623454,4320.504916696668,novelGene_SRSF6_AS
