Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,associated_gene
PB.161541.3,Patient1,0,0,1902,1717,0.0,0.0,31.0,30.0,novelGene_SRSF6_AS
PB.161541.3,Patient10,1,2,2180,1394,458.7155963302753,1434.7202295552368,29.0,24.0,novelGene_SRSF6_AS
PB.161541.3,Patient11,4,3,2226,1367,1796.9451931716083,2194.5866861741038,19.0,19.0,novelGene_SRSF6_AS
PB.161541.3,Patient12,1,0,2004,1791,499.00199600798396,0.0,28.0,30.0,novelGene_SRSF6_AS
PB.161541.3,Patient13,1,1,2495,2218,400.80160320641284,450.8566275924256,30.0,28.0,novelGene_SRSF6_AS
PB.161541.3,Patient14,5,6,1161,1708,4306.632213608958,3512.88056206089,10.0,15.0,novelGene_SRSF6_AS
PB.161541.3,Patient15,2,13,1376,2573,1453.4883720930231,5052.467936261173,22.0,10.0,novelGene_SRSF6_AS
PB.161541.3,Patient16,3,2,1395,1271,2150.537634408602,1573.5641227380015,18.0,22.0,novelGene_SRSF6_AS
PB.161541.3,Patient17,6,8,975,1227,6153.846153846154,6519.967400162999,4.0,7.0,novelGene_SRSF6_AS
PB.161541.3,Patient18,9,10,988,1387,9109.311740890687,7209.805335255947,3.0,6.0,novelGene_SRSF6_AS
PB.161541.3,Patient19,6,21,1229,1548,4882.017900732303,13565.891472868218,8.0,2.0,novelGene_SRSF6_AS
PB.161541.3,Patient2,2,9,1277,1085,1566.1707126076742,8294.930875576038,21.0,5.0,novelGene_SRSF6_AS
PB.161541.3,Patient20,3,9,1888,1738,1588.9830508474577,5178.3659378596085,20.0,9.0,novelGene_SRSF6_AS
PB.161541.3,Patient21,4,8,1417,1328,2822.8652081863092,6024.096385542169,17.0,8.0,novelGene_SRSF6_AS
PB.161541.3,Patient22,5,5,1221,2106,4095.0040950040952,2374.1690408357076,11.0,18.0,novelGene_SRSF6_AS
PB.161541.3,Patient23,2,5,665,1159,3007.5187969924814,4314.063848144952,16.0,12.0,novelGene_SRSF6_AS
PB.161541.3,Patient24,1,2,1059,1661,944.2870632672333,1204.0939193257075,24.0,26.0,novelGene_SRSF6_AS
PB.161541.3,Patient25,6,3,1372,1946,4373.1778425655975,1541.623843782117,9.0,23.0,novelGene_SRSF6_AS
PB.161541.3,Patient26,17,24,1690,1469,10059.171597633136,16337.644656228726,2.0,1.0,novelGene_SRSF6_AS
PB.161541.3,Patient27,13,6,917,1439,14176.663031624863,4169.562195969423,1.0,13.0,novelGene_SRSF6_AS
PB.161541.3,Patient28,1,3,1473,1202,678.8866259334691,2495.840266222962,25.0,17.0,novelGene_SRSF6_AS
PB.161541.3,Patient29,4,4,1044,1857,3831.4176245210724,2154.0118470651587,12.0,20.0,novelGene_SRSF6_AS
PB.161541.3,Patient3,1,6,1987,2019,503.27126321087064,2971.7682020802376,27.0,16.0,novelGene_SRSF6_AS
PB.161541.3,Patient30,10,19,1658,1808,6031.363088057901,10508.849557522124,5.0,3.0,novelGene_SRSF6_AS
PB.161541.3,Patient31,3,18,966,1858,3105.590062111801,9687.83638320775,15.0,4.0,novelGene_SRSF6_AS
PB.161541.3,Patient4,9,3,1554,1450,5791.505791505791,2068.9655172413795,6.0,21.0,novelGene_SRSF6_AS
PB.161541.3,Patient5,7,7,1993,1596,3512.2930255895635,4385.964912280701,13.0,11.0,novelGene_SRSF6_AS
PB.161541.3,Patient6,1,2,1714,1602,583.4305717619603,1248.4394506866417,26.0,25.0,novelGene_SRSF6_AS
PB.161541.3,Patient7,2,1,1705,1726,1173.0205278592375,579.3742757821552,23.0,27.0,novelGene_SRSF6_AS
PB.161541.3,Patient8,4,5,1179,1359,3392.705682782019,3679.175864606328,14.0,14.0,novelGene_SRSF6_AS
PB.161541.3,Patient9,8,0,1493,1722,5358.338914936369,0.0,7.0,30.0,novelGene_SRSF6_AS
PB.161541.4,Patient1,0,0,1902,1717,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient10,1,1,2180,1394,458.7155963302753,717.3601147776184,20.0,20.0,novelGene_SRSF6_AS
PB.161541.4,Patient11,1,3,2226,1367,449.23629829290206,2194.5866861741038,21.0,6.0,novelGene_SRSF6_AS
PB.161541.4,Patient12,3,2,2004,1791,1497.005988023952,1116.6945840312674,13.0,15.0,novelGene_SRSF6_AS
PB.161541.4,Patient13,2,1,2495,2218,801.6032064128257,450.8566275924256,17.0,24.0,novelGene_SRSF6_AS
PB.161541.4,Patient14,4,0,1161,1708,3445.305770887166,0.0,6.0,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient15,4,2,1376,2573,2906.9767441860463,777.3027594247959,9.0,18.0,novelGene_SRSF6_AS
PB.161541.4,Patient16,0,1,1395,1271,0.0,786.7820613690008,26.5,17.0,novelGene_SRSF6_AS
PB.161541.4,Patient17,3,6,975,1227,3076.923076923077,4889.975550122249,8.0,3.0,novelGene_SRSF6_AS
PB.161541.4,Patient18,12,2,988,1387,12145.748987854251,1441.9610670511895,1.0,11.0,novelGene_SRSF6_AS
PB.161541.4,Patient19,0,1,1229,1548,0.0,645.9948320413437,26.5,21.0,novelGene_SRSF6_AS
PB.161541.4,Patient2,1,0,1277,1085,783.0853563038371,0.0,18.0,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient20,5,4,1888,1738,2648.3050847457625,2301.4959723820484,10.0,5.0,novelGene_SRSF6_AS
PB.161541.4,Patient21,0,0,1417,1328,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient22,4,1,1221,2106,3276.0032760032764,474.8338081671415,7.0,23.0,novelGene_SRSF6_AS
PB.161541.4,Patient23,5,9,665,1159,7518.796992481202,7765.314926660914,4.0,1.0,novelGene_SRSF6_AS
PB.161541.4,Patient24,1,9,1059,1661,944.2870632672333,5418.4226369656835,15.0,2.0,novelGene_SRSF6_AS
PB.161541.4,Patient25,3,3,1372,1946,2186.5889212827988,1541.623843782117,11.0,10.0,novelGene_SRSF6_AS
PB.161541.4,Patient26,1,2,1690,1469,591.7159763313609,1361.4703880190605,19.0,12.0,novelGene_SRSF6_AS
PB.161541.4,Patient27,8,5,917,1439,8724.100327153763,3474.6351633078525,2.0,4.0,novelGene_SRSF6_AS
PB.161541.4,Patient28,0,2,1473,1202,0.0,1663.8935108153078,26.5,9.0,novelGene_SRSF6_AS
PB.161541.4,Patient29,9,4,1044,1857,8620.689655172413,2154.0118470651587,3.0,7.0,novelGene_SRSF6_AS
PB.161541.4,Patient3,0,1,1987,2019,0.0,495.2947003467063,26.5,22.0,novelGene_SRSF6_AS
PB.161541.4,Patient30,6,2,1658,1808,3618.8178528347407,1106.1946902654868,5.0,16.0,novelGene_SRSF6_AS
PB.161541.4,Patient31,0,0,966,1858,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient4,0,3,1554,1450,0.0,2068.9655172413795,26.5,8.0,novelGene_SRSF6_AS
PB.161541.4,Patient5,2,0,1993,1596,1003.5122930255895,0.0,14.0,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient6,0,0,1714,1602,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS
PB.161541.4,Patient7,0,2,1705,1726,0.0,1158.7485515643104,26.5,14.0,novelGene_SRSF6_AS
PB.161541.4,Patient8,1,1,1179,1359,848.1764206955047,735.8351729212657,16.0,19.0,novelGene_SRSF6_AS
PB.161541.4,Patient9,3,2,1493,1722,2009.3770931011384,1161.4401858304298,12.0,13.0,novelGene_SRSF6_AS
PB.161551.113,Patient1,1,0,1902,1717,525.7623554153522,0.0,19.0,18.0,SRSF6
PB.161551.113,Patient10,2,0,2180,1394,917.4311926605506,0.0,17.0,18.0,SRSF6
PB.161551.113,Patient11,0,0,2226,1367,0.0,0.0,25.5,18.0,SRSF6
PB.161551.113,Patient12,9,0,2004,1791,4491.017964071856,0.0,4.0,18.0,SRSF6
PB.161551.113,Patient13,0,0,2495,2218,0.0,0.0,25.5,18.0,SRSF6
