Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,associated_gene,gene_cyclo_count,gene_noncyclo_count,isoform_cyclo_proportion,isoform_noncyclo_proportion,Avg_Noncyclo_TPM,SD_Noncyclo_TPM,Noncyclo_Z_Score,test_statistic,z_score,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes
PB.161541.3,Patient1,0,0,1902,1717,0.0,0.0,31.0,30.0,novelGene_SRSF6_AS,0,0,,,4217.210237181577,4007.6733361144015,-1.0522839272300397,-163.24518627837728,-3.131287467828518,,,,,,
PB.161541.3,Patient10,1,2,2180,1394,458.7155963302753,1434.7202295552368,29.0,24.0,novelGene_SRSF6_AS,2,3,0.5,0.6666666666666666,4217.210237181577,4007.6733361144015,-0.6942906205833819,-40.92142043230453,-0.3228500148121081,,,,,,
PB.161541.3,Patient11,4,3,2226,1367,1796.9451931716083,2194.5866861741038,19.0,19.0,novelGene_SRSF6_AS,5,6,0.8,0.5,4217.210237181577,4007.6733361144015,-0.5046877281092195,-33.77353214827661,-0.15874129049354835,,,,,,
PB.161541.3,Patient12,1,0,2004,1791,499.00199600798396,0.0,28.0,30.0,novelGene_SRSF6_AS,4,2,0.25,0.0,4217.210237181577,4007.6733361144015,-1.0522839272300397,-163.24518627837728,-3.131287467828518,,,,,,
PB.161541.3,Patient13,1,1,2495,2218,400.80160320641284,450.8566275924256,30.0,28.0,novelGene_SRSF6_AS,3,2,0.3333333333333333,0.5,4217.210237181577,4007.6733361144015,-0.9397855797400846,-60.37458246118396,-0.7694761339772883,,,,,,
PB.161541.3,Patient14,5,6,1161,1708,4306.632213608958,3512.88056206089,10.0,15.0,novelGene_SRSF6_AS,9,6,0.5555555555555556,1.0,4217.210237181577,4007.6733361144015,-0.17574528062797723,-25.31487712595362,0.10772583889527687,,,,,,
PB.161541.3,Patient15,2,13,1376,2573,1453.4883720930231,5052.467936261173,22.0,10.0,novelGene_SRSF6_AS,6,15,0.3333333333333333,0.8666666666666667,4217.210237181577,4007.6733361144015,0.20841461592012175,-19.329594519600725,0.24514224136052853,,,,,,
PB.161541.3,Patient16,3,2,1395,1271,2150.537634408602,1573.5641227380015,18.0,22.0,novelGene_SRSF6_AS,3,3,1.0,0.6666666666666666,4217.210237181577,4007.6733361144015,-0.6596461070369312,-39.36807346361669,-0.2871866441316959,,,,,,
PB.161541.3,Patient17,6,8,975,1227,6153.846153846154,6519.967400162999,4.0,7.0,novelGene_SRSF6_AS,9,14,0.6666666666666666,0.5714285714285714,4217.210237181577,4007.6733361144015,0.574587040872457,-15.130006671980064,0.34156078862248807,,,,,,
PB.161541.3,Patient18,9,10,988,1387,9109.311740890687,7209.805335255947,3.0,6.0,novelGene_SRSF6_AS,21,12,0.42857142857142855,0.8333333333333334,4217.210237181577,4007.6733361144015,0.7467163231861133,-13.473583684954955,0.37959068675898316,,,,,,
