associated_gene,Sample,cyclo_count,noncyclo_count,Cyclo_TPM,Noncyclo_TPM,total_cyclo,total_noncyclo,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Avg_Noncyclo_TPM,SD_Noncyclo_TPM,Noncyclo_Z_Score,test_statistic,z_score,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes
DND1_HARS1,Patient1,5,0,2628.8117770767612,0.0,1902,1717,26.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient10,17,0,7798.165137614679,0.0,2180,1394,8.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient11,5,0,2246.1814914645106,0.0,2226,1367,28.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient12,10,0,4990.0199600798405,0.0,2004,1791,15.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient13,25,0,10020.040080160321,0.0,2495,2218,6.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient14,0,0,0.0,0.0,1161,1708,31.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient15,6,1,4360.46511627907,388.65137971239795,1376,2573,21.0,8.0,353.67582098260334,1026.2677360748162,0.034080345216313854,-8.606040114548572,-1.945841732846792,,,,,,
DND1_HARS1,Patient16,5,0,3584.2293906810037,0.0,1395,1271,23.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient17,6,0,6153.846153846154,0.0,975,1227,12.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient18,2,0,2024.2914979757086,0.0,988,1387,29.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient19,5,1,4068.3482506102523,645.9948320413437,1229,1548,22.0,5.0,353.67582098260334,1026.2677360748162,0.28483698822763137,-9.337610378316924,-2.1112511349414587,,,,,,
DND1_HARS1,Patient2,32,6,25058.731401722787,5529.9539170506905,1277,1085,1.0,1.0,353.67582098260334,1026.2677360748162,5.0437891732481885,-12.433312606480994,-2.811195186776084,,,,,,
DND1_HARS1,Patient20,1,1,529.6610169491526,575.3739930955121,1888,1738,30.0,7.0,353.67582098260334,1026.2677360748162,0.21602371809995857,-9.170861430078151,-2.073548886512149,,,,,,
DND1_HARS1,Patient21,7,0,4940.014114326041,0.0,1417,1328,16.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient22,6,0,4914.004914004914,0.0,1221,2106,17.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient23,9,1,13533.834586466164,862.8127696289905,665,1159,2.0,4.0,353.67582098260334,1026.2677360748162,0.49610538337070986,-9.754574833645716,-2.2055275765444797,,,,,,
DND1_HARS1,Patient24,7,0,6610.0094428706325,0.0,1059,1661,11.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient25,4,0,2915.451895043732,0.0,1372,1946,25.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient26,8,0,4733.7278106508875,0.0,1690,1469,18.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient27,4,2,4362.0501635768815,1389.854065323141,917,1439,20.0,2.0,353.67582098260334,1026.2677360748162,1.0096568448148107,-10.441755338417455,-2.3609003712776953,,,,,,
DND1_HARS1,Patient28,15,0,10183.299389002037,0.0,1473,1202,5.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient29,9,0,8620.689655172413,0.0,1044,1857,7.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient3,7,2,3522.8988424760946,990.5894006934126,1987,2019,24.0,3.0,353.67582098260334,1026.2677360748162,0.6206115200959387,-9.953599040012614,-2.2505273210774783,,,,,,
