Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File
PB.161541.3	Patient1	0	0	0	1717		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	0.0			4217.210237181577	4007.6733361144015	-1.0522839272300395	0.0	3.151037109387037	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161541.3	Patient12	0	0	0	1791		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		0.0	4217.210237181577	4007.6733361144015	-1.0522839272300395	0.0	3.151037109387037	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.18	Patient9	0	0	0	1722		0.0		31.0		41351.1939429237		56432.16802184861	SRSF6	0.0	3.0		0.0	56432.16802184861	44737.82319924406	-1.2613972693870843	202.8622518731178	5.4166344229749	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.19	Patient10	0	0	0	1394		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	248.0		0.0	12344.236204445102	17848.96900807238	-0.6915937945134139	0.0	2.4539819843960613	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.19	Patient29	0	0	0	1857		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	35.0		0.0	12344.236204445102	17848.96900807238	-0.6915937945134139	0.0	2.4539819843960613	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.19	Patient30	0	0	0	1808		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	127.0		0.0	12344.236204445102	17848.96900807238	-0.6915937945134139	0.0	2.4539819843960613	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.31	Patient20	0	0	0	1738		0.0		27.0		2259.0361445783133		3554.994421578976	SRSF6	0.0	81.0		0.0	3554.994421578976	4038.966642367313	-0.8801742466224796	0.0	2.008933950213134	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.31	Patient24	0	0	0	1661		0.0		27.0		2259.0361445783133		3554.994421578976	SRSF6	0.0	41.0		0.0	3554.994421578976	4038.966642367313	-0.8801742466224796	0.0	2.008933950213134	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.38	Patient17	0	0	0	1227		0.0		28.5		1573.5641227380015		2633.5546940838576	SRSF6	0.0	25.0		0.0	2633.5546940838576	3097.1235201992918	-0.850322783998746	0.0	2.312750967085767	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.38	Patient19	0	0	0	1548		0.0		28.5		1573.5641227380015		2633.5546940838576	SRSF6	0.0	31.0		0.0	2633.5546940838576	3097.1235201992918	-0.850322783998746	0.0	2.312750967085767	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.38	Patient22	0	0	0	2106		0.0		28.5		1573.5641227380015		2633.5546940838576	SRSF6	0.0	43.0		0.0	2633.5546940838576	3097.1235201992918	-0.850322783998746	0.0	2.312750967085767	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.38	Patient6	0	0	0	1602		0.0		28.5		1573.5641227380015		2633.5546940838576	SRSF6	0.0	77.0		0.0	2633.5546940838576	3097.1235201992918	-0.850322783998746	0.0	2.312750967085767	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.51	Patient31	0	0	0	1858		0.0		25.0		538.5029617662897		1500.7251854351955	SRSF6	0.0	125.0		0.0	1500.7251854351955	2217.666964137709	-0.676713505546005	0.0	1.6816561939145118	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.604	Patient27	0	0	0	1439		0.0		24.0		602.0469596628537		1023.0107634617356	SRSF6	0.0	45.0		0.0	1023.0107634617356	1386.4623156152315	-0.7378568836238312	0.0	1.7101721807550752	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.161551.620	Patient25	0	0	0	1946		0.0		25.5		580.7200929152149		1807.8682643669024	SRSF6	0.0	346.0		0.0	1807.8682643669024	2542.124490874083	-0.7111643315883738	0.0	1.6781262551059444	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
PB.59138.483	Patient14	0	3	0	1708		1756.440281030445		30.0		6866.4169787765295		7679.858053412392	HARS1	0.0	464.0		0.0064655172413793	7679.858053412392	3983.443837789031	-1.4870092346198809	-11.970022585940193	2.0350074385225563	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_LOE_isoform_top_ranked_data.tsv.gz
