Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,associated_gene,gene_cyclo_count,gene_noncyclo_count,isoform_cyclo_proportion,isoform_noncyclo_proportion,CycloFraction,NoncycloFraction,NormalizedCycloFraction,NormalizedNoncycloFraction,NormalizedFractionDifference,test_statistic,z_score,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes
PB.161541.3,Patient1,0,0,1902,1717,0.0,0.0,31.0,30.0,novelGene_SRSF6_AS,0,0,,,0.0,0.0,,,,0.0,0.07748161595887049,,,,,,
PB.161541.3,Patient10,1,2,2180,1394,458.7155963302753,1434.7202295552368,29.0,24.0,novelGene_SRSF6_AS,2,3,0.5,0.6666666666666666,0.00045871559633027525,0.0014347202295552368,0.24226624956551965,0.7577337504344803,-0.5154675008689606,-2.604031781087422,-0.2592253448819847,,,,,,
PB.161541.3,Patient11,4,3,2226,1367,1796.9451931716083,2194.5866861741038,19.0,19.0,novelGene_SRSF6_AS,5,6,0.8,0.5,0.0017969451931716084,0.0021945866861741038,0.4501893627531698,0.5498106372468302,-0.09962127449366043,-0.745134704724528,-0.037705050500661794,,,,,,
PB.161541.3,Patient12,1,0,2004,1791,499.00199600798396,0.0,28.0,30.0,novelGene_SRSF6_AS,4,2,0.25,0.0,0.000499001996007984,0.0,1.0,0.0,1.0,14.210441008939975,1.7709056982367173,,,,,,
PB.161541.3,Patient13,1,1,2495,2218,400.80160320641284,450.8566275924256,30.0,28.0,novelGene_SRSF6_AS,3,2,0.3333333333333333,0.5,0.0004008016032064128,0.0004508566275924256,0.4706131975387227,0.5293868024612773,-0.05877360492255462,-0.2684637427244571,0.045489437330351476,,,,,,
PB.161541.3,Patient14,5,6,1161,1708,4306.632213608958,3512.88056206089,10.0,15.0,novelGene_SRSF6_AS,9,6,0.5555555555555556,1.0,0.004306632213608958,0.00351288056206089,0.5507545466271121,0.44924545337288785,0.10150909325422425,0.8248848808006741,0.17578116355038836,,,,,,
PB.161541.3,Patient15,2,13,1376,2573,1453.4883720930231,5052.467936261173,22.0,10.0,novelGene_SRSF6_AS,6,15,0.3333333333333333,0.8666666666666667,0.0014534883720930232,0.005052467936261173,0.22340887383867328,0.7765911261613268,-0.5531822523226535,-3.5935240251955873,-0.3771407561169882,,,,,,
PB.161541.3,Patient16,3,2,1395,1271,2150.537634408602,1573.5641227380015,18.0,22.0,novelGene_SRSF6_AS,3,3,1.0,0.6666666666666666,0.002150537634408602,0.0015735641227380016,0.5774647887323944,0.4225352112676056,0.15492957746478875,1.0458325542379034,0.2021109664668832,,,,,,
PB.161541.3,Patient17,6,8,975,1227,6153.846153846154,6519.967400162999,4.0,7.0,novelGene_SRSF6_AS,9,14,0.6666666666666666,0.5714285714285714,0.006153846153846154,0.006519967400162999,0.48555599525128607,0.5144440047487139,-0.028888009497427813,-0.2500896352185539,0.047679035536436966,,,,,,
PB.161541.3,Patient18,9,10,988,1387,9109.311740890687,7209.805335255947,3.0,6.0,novelGene_SRSF6_AS,21,12,0.42857142857142855,0.8333333333333334,0.009109311740890687,0.007209805335255948,0.5581988105352591,0.4418011894647409,0.11639762107051821,1.1670047540120476,0.2165507661234193,,,,,,
PB.161541.3,Patient19,6,21,1229,1548,4882.017900732303,13565.891472868218,8.0,2.0,novelGene_SRSF6_AS,6,22,1.0,0.9545454545454546,0.004882017900732303,0.013565891472868217,0.26463800324814085,0.7353619967518591,-0.47072399350371824,-4.422735683483555,-0.475955915376788,,,,,,
PB.161541.3,Patient2,2,9,1277,1085,1566.1707126076742,8294.930875576038,21.0,5.0,novelGene_SRSF6_AS,3,9,0.6666666666666666,1.0,0.0015661707126076742,0.008294930875576038,0.15882309888018734,0.8411769011198126,-0.6823538022396253,-4.8084830628084685,-0.5219245029395116,,,,,,
PB.161541.3,Patient20,3,9,1888,1738,1588.9830508474577,5178.3659378596085,20.0,9.0,novelGene_SRSF6_AS,8,13,0.375,0.6923076923076923,0.0015889830508474577,0.005178365937859608,0.23480140502566876,0.7651985949743313,-0.5303971899486626,-3.956017745507244,-0.4203382610546651,,,,,,
PB.161541.3,Patient21,4,8,1417,1328,2822.8652081863092,6024.096385542169,17.0,8.0,novelGene_SRSF6_AS,4,8,1.0,1.0,0.0028228652081863093,0.006024096385542169,0.31907736665064873,0.6809226333493513,-0.3618452666987026,-2.8261733517530736,-0.2856974216601494,,,,,,
PB.161541.3,Patient22,5,5,1221,2106,4095.0040950040952,2374.1690408357076,11.0,18.0,novelGene_SRSF6_AS,9,6,0.5555555555555556,0.8333333333333334,0.004095004095004095,0.0023741690408357074,0.6330027051397655,0.3669972948602344,0.2660054102795311,2.2071058428869352,0.34049711168694324,,,,,,
PB.161541.3,Patient23,2,5,665,1159,3007.5187969924814,4314.063848144952,16.0,12.0,novelGene_SRSF6_AS,7,14,0.2857142857142857,0.35714285714285715,0.0030075187969924814,0.004314063848144953,0.4107744107744108,0.5892255892255892,-0.17845117845117842,-1.04065707171544,-0.07292174031340762,,,,,,
PB.161541.3,Patient24,1,2,1059,1661,944.2870632672333,1204.0939193257075,24.0,26.0,novelGene_SRSF6_AS,2,11,0.5,0.18181818181818182,0.0009442870632672333,0.0012040939193257074,0.4395342683249537,0.5604657316750463,-0.12093146335009264,-0.5552459198144091,-0.0037621657106357924,,,,,,
PB.161541.3,Patient25,6,3,1372,1946,4373.1778425655975,1541.623843782117,9.0,23.0,novelGene_SRSF6_AS,9,6,0.6666666666666666,0.5,0.004373177842565598,0.001541623843782117,0.7393617021276596,0.26063829787234044,0.4787234042553192,4.510876687103452,0.615031943166943,,,,,,
PB.161541.3,Patient26,17,24,1690,1469,10059.171597633136,16337.644656228726,2.0,1.0,novelGene_SRSF6_AS,18,26,0.9444444444444444,0.9230769230769231,0.010059171597633136,0.016337644656228726,0.38107518349533825,0.6189248165046618,-0.23784963300932355,-2.9719919632756215,-0.30307427493593814,,,,,,
PB.161541.3,Patient27,13,6,917,1439,14176.663031624863,4169.562195969423,1.0,13.0,novelGene_SRSF6_AS,21,11,0.6190476190476191,0.5454545454545454,0.014176663031624863,0.004169562195969423,0.7727291503159983,0.22727084968400182,0.5454583006319965,6.896857283146889,0.8993635130771019,,,,,,
PB.161541.3,Patient28,1,3,1473,1202,678.8866259334691,2495.840266222962,25.0,17.0,novelGene_SRSF6_AS,1,5,1.0,0.6,0.0006788866259334691,0.0024958402662229617,0.21384095356698096,0.786159046433019,-0.5723180928660381,-2.974558454826048,-0.30338011756219585,,,,,,
PB.161541.3,Patient29,4,4,1044,1857,3831.4176245210724,2154.0118470651587,12.0,20.0,novelGene_SRSF6_AS,13,8,0.3076923076923077,0.5,0.0038314176245210726,0.002154011847065159,0.640124095139607,0.359875904860393,0.280248190279214,2.1469638228244508,0.33333013178346405,,,,,,
PB.161541.3,Patient3,1,6,1987,2019,503.27126321087064,2971.7682020802376,27.0,16.0,novelGene_SRSF6_AS,1,7,1.0,0.8571428571428571,0.0005032712632108706,0.0029717682020802376,0.14482461803313967,0.8551753819668604,-0.7103507639337208,-4.056767084701885,-0.4323443175281025,,,,,,
PB.161541.3,Patient30,10,19,1658,1808,6031.363088057901,10508.849557522124,5.0,3.0,novelGene_SRSF6_AS,16,21,0.625,0.9047619047619048,0.006031363088057901,0.010508849557522125,0.3646484611350893,0.6353515388649107,-0.2707030777298214,-2.871364407686311,-0.2910827311218871,,,,,,
PB.161541.3,Patient31,3,18,966,1858,3105.590062111801,9687.83638320775,15.0,4.0,novelGene_SRSF6_AS,3,18,1.0,1.0,0.003105590062111801,0.00968783638320775,0.24274888946955836,0.7572511105304416,-0.5145022210608832,-3.8102643384885906,-0.4029691780428041,,,,,,
PB.161541.3,Patient4,9,3,1554,1450,5791.505791505791,2068.9655172413795,6.0,21.0,novelGene_SRSF6_AS,9,6,1.0,0.5,0.005791505791505791,0.0020689655172413794,0.7367886178861788,0.2632113821138211,0.47357723577235766,5.135805922235104,0.6895032573102298,,,,,,
PB.161541.3,Patient5,7,7,1993,1596,3512.2930255895635,4385.964912280701,13.0,11.0,novelGene_SRSF6_AS,9,7,0.7777777777777778,1.0,0.0035122930255895636,0.0043859649122807015,0.44469211479520765,0.5553078852047925,-0.11061577040958481,-1.0156416189105413,-0.06994070895890919,,,,,,
PB.161541.3,Patient6,1,2,1714,1602,583.4305717619603,1248.4394506866417,26.0,25.0,novelGene_SRSF6_AS,1,2,1.0,1.0,0.0005834305717619603,0.0012484394506866417,0.3184890656063618,0.6815109343936382,-0.3630218687872764,-1.737400129110372,-0.15595093496051216,,,,,,
PB.161541.3,Patient7,2,1,1705,1726,1173.0205278592375,579.3742757821552,23.0,27.0,novelGene_SRSF6_AS,2,3,1.0,0.3333333333333333,0.0011730205278592375,0.0005793742757821553,0.6693814233081249,0.3306185766918751,0.3387628466162498,2.0328043073653963,0.3197260168529062,,,,,,
PB.161541.3,Patient8,4,5,1179,1359,3392.705682782019,3679.175864606328,14.0,14.0,novelGene_SRSF6_AS,5,6,0.8,0.8333333333333334,0.0033927056827820186,0.003679175864606328,0.4797458300238284,0.5202541699761716,-0.04050833995234315,-0.302216384213023,0.041467216211297585,,,,,,
PB.161541.3,Patient9,8,0,1493,1722,5358.338914936369,0.0,7.0,30.0,novelGene_SRSF6_AS,11,2,0.7272727272727273,0.0,0.0053583389149363695,0.0,1.0,0.0,1.0,41.15151152863422,4.981408285151096,1.0,1.0,1.0,1.0,1.0,
PB.161541.4,Patient1,0,0,1902,1717,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS,0,0,,,0.0,0.0,,,,0.0,-0.017948439229017836,,,,,,
PB.161541.4,Patient10,1,1,2180,1394,458.7155963302753,717.3601147776184,20.0,20.0,novelGene_SRSF6_AS,2,3,0.5,0.3333333333333333,0.00045871559633027525,0.0007173601147776184,0.39003917179630665,0.6099608282036934,-0.2199216564073867,-1.0206613883070315,-0.13086406693062663,,,,,,
PB.161541.4,Patient11,1,3,2226,1367,449.23629829290206,2194.5866861741038,21.0,6.0,novelGene_SRSF6_AS,5,6,0.2,0.5,0.0004492362982929021,0.0021945866861741038,0.1699192044748291,0.8300807955251709,-0.6601615910503418,-3.6229900487397715,-0.41875932538264593,,,,,,
PB.161541.4,Patient12,3,2,2004,1791,1497.005988023952,1116.6945840312674,13.0,15.0,novelGene_SRSF6_AS,4,2,0.75,1.0,0.0014970059880239522,0.0011166945840312675,0.5727534377998081,0.42724656220019186,0.14550687559961628,0.9810549584100525,0.10853397386021568,,,,,,
PB.161541.4,Patient13,2,1,2495,2218,801.6032064128257,450.8566275924256,17.0,24.0,novelGene_SRSF6_AS,3,2,0.6666666666666666,0.5,0.0008016032064128256,0.0004508566275924256,0.6400230846919637,0.3599769153080364,0.2800461693839273,1.6576436723578065,0.183384889361149,,,,,,
PB.161541.4,Patient14,4,0,1161,1708,3445.305770887166,0.0,6.0,28.0,novelGene_SRSF6_AS,9,6,0.4444444444444444,0.0,0.0034453057708871662,0.0,1.0,0.0,1.0,30.375467811486512,3.3604337873044474,1.0,1.0,1.0,1.0,1.0,
PB.161541.4,Patient15,4,2,1376,2573,2906.9767441860463,777.3027594247959,9.0,18.0,novelGene_SRSF6_AS,6,15,0.6666666666666666,0.13333333333333333,0.0029069767441860465,0.000777302759424796,0.7890217724624348,0.21097822753756515,0.5780435449248696,4.915596627239797,0.5438117724952337,,,,,,
PB.161541.4,Patient16,0,1,1395,1271,0.0,786.7820613690008,26.5,17.0,novelGene_SRSF6_AS,3,3,0.0,0.3333333333333333,0.0,0.0007867820613690008,0.0,1.0,-1.0,-9.621652755408277,-1.082390547895347,,,,,,
PB.161541.4,Patient17,3,6,975,1227,3076.923076923077,4889.975550122249,8.0,3.0,novelGene_SRSF6_AS,9,14,0.3333333333333333,0.42857142857142855,0.003076923076923077,0.004889975550122249,0.38621340887629846,0.6137865911237017,-0.22757318224740325,-1.5514312625317823,-0.18958306443537315,,,,,,
PB.161541.4,Patient18,12,2,988,1387,12145.748987854251,1441.9610670511895,1.0,11.0,novelGene_SRSF6_AS,21,12,0.5714285714285714,0.16666666666666666,0.012145748987854251,0.0014419610670511895,0.8938775510204082,0.10612244897959183,0.7877551020408164,11.701775736181277,1.2945658252694594,,,,,,
PB.161541.4,Patient19,0,1,1229,1548,0.0,645.9948320413437,26.5,21.0,novelGene_SRSF6_AS,6,22,0.0,0.045454545454545456,0.0,0.0006459948320413437,0.0,1.0,-1.0,-9.337610378316924,-1.0509669791480993,,,,,,
PB.161541.4,Patient2,1,0,1277,1085,783.0853563038371,0.0,18.0,28.0,novelGene_SRSF6_AS,3,9,0.3333333333333333,0.0,0.0007830853563038371,0.0,1.0,0.0,1.0,15.239203495223775,1.6859109671915165,,,,,,
PB.161541.4,Patient20,5,4,1888,1738,2648.3050847457625,2301.4959723820484,10.0,5.0,novelGene_SRSF6_AS,8,13,0.625,0.3076923076923077,0.0026483050847457626,0.0023014959723820483,0.5350326314493289,0.46496736855067106,0.07006526289865783,0.5682517468395132,0.06286561186893612,,,,,,
PB.161541.4,Patient21,0,0,1417,1328,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS,4,8,0.0,0.0,0.0,0.0,,,,0.0,-0.017948439229017836,,,,,,
PB.161541.4,Patient22,4,1,1221,2106,3276.0032760032764,474.8338081671415,7.0,23.0,novelGene_SRSF6_AS,9,6,0.4444444444444444,0.16666666666666666,0.003276003276003276,0.0004748338081671415,0.8734059097978226,0.1265940902021773,0.7468118195956454,7.196141215843889,0.7961081037504683,,,,,,
PB.161541.4,Patient23,5,9,665,1159,7518.796992481202,7765.314926660914,4.0,1.0,novelGene_SRSF6_AS,7,14,0.7142857142857143,0.6428571428571429,0.007518796992481203,0.007765314926660914,0.49193548387096775,0.5080645161290323,-0.016129032258064502,-0.13064445929061422,-0.032401617624455877,,,,,,
PB.161541.4,Patient24,1,9,1059,1661,944.2870632672333,5418.4226369656835,15.0,2.0,novelGene_SRSF6_AS,2,11,0.5,0.8181818181818182,0.0009442870632672333,0.005418422636965683,0.14840957827019302,0.851590421729807,-0.7031808434596141,-3.9930193977825224,-0.4596956209002845,,,,,,
PB.161541.4,Patient25,3,3,1372,1946,2186.5889212827988,1541.623843782117,11.0,10.0,novelGene_SRSF6_AS,9,6,0.3333333333333333,0.5,0.002186588921282799,0.001541623843782117,0.5864978902953587,0.41350210970464135,0.17299578059071735,1.1701480753307416,0.12945331913550734,,,,,,
PB.161541.4,Patient26,1,2,1690,1469,591.7159763313609,1361.4703880190605,19.0,12.0,novelGene_SRSF6_AS,18,26,0.05555555555555555,0.07692307692307693,0.000591715976331361,0.0013614703880190605,0.3029490616621984,0.6970509383378016,-0.3941018766756032,-1.903242029175571,-0.2285038407112929,,,,,,
