,Sample1,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample2,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample3,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample4,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample5,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample6,Sample60,Sample61,Sample62,Sample7,Sample8,Sample9,id
PB.161541.3,0,7,1,2,2,1,4,5,8,0,1,0,2,4,3,1,0,1,1,6,5,13,9,2,2,3,8,6,10,9,21,6,9,2,3,8,4,5,5,5,2,2,1,3,6,6,24,17,6,13,3,1,4,4,19,1,10,18,3,3,9,7,0
PB.161541.4,0,0,0,0,0,2,1,1,3,2,1,0,1,1,3,3,2,2,1,0,4,2,0,4,1,0,6,3,2,12,1,0,4,1,5,0,0,1,4,9,5,9,1,3,1,3,2,1,5,8,2,0,4,9,2,0,6,0,0,3,0,2,0
PB.161551.113,0,0,6,0,1,0,9,1,0,0,2,1,0,0,0,9,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,5,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,32,0,1,0,5,4,0,0,1,5,16,0
PB.161551.121,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11,0,0,0,0,1,0,2,0,1,1,0
PB.161551.166,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
PB.161551.18,71,270,47,61,139,202,97,169,0,0,119,79,161,132,122,145,183,226,265,32,54,204,46,186,29,20,17,31,50,67,17,20,47,37,14,81,175,32,25,11,13,29,13,257,131,164,114,172,26,22,64,74,18,26,72,192,191,60,24,74,82,156,0
PB.161551.19,10,29,2,5,41,34,6,12,0,0,0,9,0,81,123,16,19,62,94,4,9,51,8,32,7,12,5,4,11,13,4,2,8,4,5,25,20,1,2,4,0,5,1,45,23,38,45,180,8,0,0,0,0,3,0,23,2,53,72,7,11,22,0
PB.161551.22,0,0,0,0,8,2,11,0,0,0,5,5,2,21,1,10,0,30,0,0,3,0,0,2,0,1,0,1,0,0,0,1,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,10,0,1,0,2,0,0,0,11,1,0,1,0,11,19,0
PB.161551.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,81,69,0,0,0,0,0,0,0,0,0,0,0
PB.161551.31,4,25,3,7,0,0,4,14,0,0,0,2,12,19,12,5,6,8,7,3,4,10,2,10,5,0,0,1,11,3,0,0,0,1,0,3,6,0,1,0,0,0,0,22,7,5,12,15,1,0,2,1,0,3,4,12,7,2,4,5,4,12,0
PB.161551.35,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0
PB.161551.38,6,14,27,0,147,17,110,8,0,0,139,73,15,586,12,120,1,241,10,2,39,2,2,65,2,41,0,12,1,31,0,25,1,24,19,4,101,0,9,1,8,1,7,7,7,91,3,143,1,14,1,13,0,10,3,93,112,4,14,5,69,305,0
PB.161551.51,0,2,0,0,0,3,1,6,0,0,0,0,14,3,5,4,5,3,1,0,0,10,0,0,2,0,0,0,2,2,1,0,3,1,0,1,2,0,0,0,0,0,1,7,1,0,8,17,0,2,0,0,1,0,0,3,4,0,0,3,0,0,0
PB.161551.53,0,9,0,0,0,0,0,0,0,0,20,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,99,0,2,1,0,10,0
PB.161551.569,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,1,0,0,1,1,0,1,0,0,0,6,4,0,0,0,0,1,0,4,2,9,2,12,0,0,3,3,0,0,0,0,0,0,0,1,0
PB.161551.572,3,0,0,0,0,0,0,0,2,2,2,1,0,3,1,0,0,0,0,2,1,3,4,1,1,1,2,0,0,0,2,7,5,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,2,10,1,3,2,1,0,0,0,2,2,0,2,2,0
PB.161551.582,1,0,2,3,0,0,0,0,0,0,0,3,0,4,2,0,1,0,1,0,0,3,0,4,5,9,1,3,0,5,3,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,6,4,14,0,0,0,0,3,0,3,0,0,1,2,0,0
PB.161551.598,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,1,0,0,0,0,0,1,0,3,0,1,11,0,0,5,5,0,0,0,2,0,0,0,2,0
PB.161551.604,0,0,0,0,0,0,1,1,1,0,0,2,0,3,2,1,0,0,0,0,0,6,0,4,2,0,0,0,2,16,1,5,7,0,4,3,4,0,0,0,0,1,2,2,0,3,4,4,0,0,2,3,6,1,10,0,4,2,0,2,0,0,0
PB.161551.61,0,0,0,0,23,1,0,0,0,0,25,2,0,153,3,0,0,65,1,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,22,1,82,0,0,0,0,0,0,3,0,38,0,25,0,0,68,0
PB.161551.620,0,0,0,1,9,3,7,5,0,1,15,0,10,40,14,10,8,27,7,0,3,1,0,3,0,0,0,0,3,9,2,0,7,0,2,0,4,1,5,2,3,5,0,0,0,1,5,8,0,2,8,4,0,5,1,1,10,0,4,1,1,5,0
PB.161551.68,0,1,0,0,7,0,11,1,0,0,9,9,4,23,0,23,0,20,0,0,0,1,0,6,0,0,0,1,2,3,0,3,0,6,2,0,7,0,2,0,0,0,1,0,1,3,0,11,0,0,0,0,0,1,0,24,11,0,0,0,5,27,0
PB.161551.77,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,2,0,0,0,0,0,0
PB.161551.94,0,0,0,0,0,0,4,0,0,0,4,1,0,76,2,5,0,13,0,0,4,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,7,1,10,0,2,0,0,0,2,1,7,7,0,3,0,4,36,0
PB.59138.287,0,0,9,0,3,0,5,0,12,1,11,3,0,3,0,7,0,15,0,0,0,1,2,1,0,3,0,2,0,2,1,2,0,19,0,0,4,0,5,1,2,0,0,0,1,0,0,2,0,2,0,10,0,4,0,6,4,0,5,0,4,4,0
PB.59138.305,0,0,4,0,5,0,2,0,7,0,6,2,0,2,0,3,0,10,0,0,0,0,4,5,0,2,0,4,0,0,0,3,1,13,1,0,3,0,1,0,7,0,7,0,1,4,0,6,2,2,0,5,0,5,0,1,8,0,5,0,4,1,0
PB.59138.479,620,547,508,637,414,583,239,394,529,559,532,549,372,389,221,417,476,453,515,457,331,945,69,402,622,606,523,375,556,304,557,403,738,69,667,425,420,724,378,523,464,752,440,699,808,339,523,213,505,300,235,295,505,366,488,574,410,508,122,436,389,419,0
PB.59138.482,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,3,4,3,1,0,0,1,4,4,6,10,1,0,0,1,0,1,1,0,1,0,2,0,0,0,4,3,0,0
PB.59138.483,10,5,7,11,7,7,3,7,8,18,8,8,6,11,8,5,6,3,10,3,2,28,1,8,13,22,11,14,17,12,18,4,25,1,17,17,7,7,7,11,13,27,12,13,12,7,12,2,21,6,6,7,16,14,17,6,10,17,2,6,9,6,0
PB.59138.484,4,0,0,0,0,0,2,1,0,1,1,1,0,0,0,1,3,0,0,0,0,2,1,2,0,0,3,5,10,6,1,0,3,0,6,10,3,0,0,3,7,5,7,7,0,0,0,0,3,8,0,0,5,1,0,1,0,1,0,3,2,1,0
PB.59138.485,0,0,0,0,1,0,0,0,1,0,0,1,0,5,0,2,0,0,0,0,0,0,0,5,0,11,0,5,0,0,1,1,0,1,6,0,5,0,5,0,1,0,2,1,0,3,0,3,0,4,0,2,0,1,1,2,4,0,0,0,0,0,0
PB.59138.487,7,6,7,7,4,9,4,3,8,11,7,9,4,3,1,7,14,8,10,3,2,13,0,8,9,11,6,1,10,2,2,4,8,0,10,5,6,5,4,8,7,15,9,11,8,3,10,1,4,4,3,0,15,4,6,16,3,11,1,3,5,5,0
PB.59138.488,1,1,9,0,3,0,5,3,1,1,3,3,0,5,1,7,0,4,1,0,3,0,0,1,0,2,0,1,1,0,1,7,0,0,6,0,1,1,0,0,1,0,0,0,0,0,0,2,0,2,0,2,2,1,0,6,0,0,0,1,10,4,0
PB.59138.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB.59138.526,0,0,0,0,2,6,4,2,0,2,10,1,20,18,21,23,21,20,12,1,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,1,2,1,1,0,1,2,0,0,0,1,0,1,4,0,2,2,0,2,0,2,0,0
PB.70308.12,182,113,114,157,76,82,42,82,96,104,96,184,94,48,29,87,100,109,118,201,115,132,104,76,35,31,65,60,127,73,87,51,86,66,148,111,68,222,63,49,28,83,48,89,88,95,136,30,86,82,35,25,209,99,172,99,64,73,16,97,57,115,0
PB.70308.15,3,0,2,1,1,2,3,1,1,2,1,5,5,0,2,1,1,2,2,9,4,2,2,1,1,0,2,2,2,3,2,0,4,3,4,7,3,5,3,3,2,4,3,7,2,5,4,0,5,6,2,0,11,3,10,2,3,2,0,3,0,2,0
PB.70308.16,215,132,255,168,397,315,188,141,164,243,262,246,207,183,383,360,326,445,516,208,143,283,212,149,196,213,126,117,116,66,157,134,170,215,176,139,145,210,243,103,4,121,68,133,186,121,155,331,179,68,365,259,243,126,221,213,177,321,388,146,193,233,0
PB.70308.18,86,61,125,56,73,80,77,88,103,123,134,102,70,52,74,135,106,131,104,109,60,121,100,57,56,65,61,47,46,42,92,79,78,106,75,80,65,131,74,55,7,92,72,77,101,77,56,77,75,50,79,107,104,54,96,111,83,111,57,99,107,86,0
PB.70308.19,6,2,1,2,2,1,3,6,4,3,3,4,1,0,3,2,1,4,2,11,1,8,5,3,5,5,2,1,2,5,8,3,4,5,9,1,1,4,4,2,1,4,2,4,3,6,1,5,2,2,2,5,3,2,10,2,7,7,0,4,3,2,0
PB.70308.21,446,345,546,458,322,359,311,377,517,610,712,552,332,324,295,547,480,545,496,611,345,679,487,295,249,290,366,253,380,281,502,418,487,585,632,364,308,719,341,339,82,471,338,505,585,319,295,283,456,238,255,407,635,260,586,528,339,602,180,508,515,382,0
PB.70308.26,9,9,10,4,2,3,13,8,3,16,11,8,6,4,5,15,5,14,8,5,5,4,9,6,3,3,2,5,3,4,5,10,2,7,9,0,6,6,5,0,0,2,2,7,11,5,5,5,7,8,0,8,5,2,1,10,2,6,3,5,8,12,0
PB.70308.41,0,0,2,1,1,0,0,1,3,0,12,4,3,5,0,3,1,0,0,1,0,1,0,5,0,1,4,0,0,1,1,1,1,1,5,2,1,1,2,0,1,1,1,2,0,1,0,2,3,3,0,0,2,1,1,4,2,1,0,0,4,3,0
PB.70308.42,24,12,16,12,10,7,7,17,10,19,14,17,10,14,6,14,14,12,13,28,12,32,15,15,12,20,10,12,18,6,45,21,22,14,28,28,20,16,13,18,2,20,12,22,21,24,35,18,27,12,19,13,42,10,36,9,19,30,6,24,22,5,0
PB.70308.51,8,2,6,7,4,6,2,5,6,4,7,7,13,7,13,11,12,16,22,11,6,13,3,5,10,13,7,5,4,2,13,3,8,6,14,5,7,5,5,12,0,5,2,9,3,9,8,24,7,5,29,19,15,8,15,11,8,25,22,5,11,6,0
PB.70308.52,0,0,3,0,1,1,2,0,2,0,3,4,0,3,0,5,0,5,0,0,2,0,0,1,0,0,0,1,1,0,0,5,0,1,10,0,2,0,1,0,0,1,0,1,0,2,0,0,0,2,0,8,1,4,0,10,1,0,1,0,0,16,0
pbid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
