Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,associated_gene,gene_cyclo_count,gene_noncyclo_count,isoform_cyclo_proportion,isoform_noncyclo_proportion,Avg_Cyclo_TPM,SD_Cyclo_TPM,Cyclo_Z_Score,test_statistic,z_score,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes
PB.161541.3,Patient1,0,0,1902,1717,0.0,0.0,31.0,30.0,novelGene_SRSF6_AS,0,0,,,3477.6439671385456,3209.7600535560427,-1.0834591711258037,-159.6847902968605,-4.666329594789211,,,,,,
PB.161541.3,Patient10,1,2,2180,1394,458.7155963302753,1434.7202295552368,29.0,24.0,novelGene_SRSF6_AS,2,3,0.5,0.6666666666666666,3477.6439671385456,3209.7600535560427,-0.9405464335141336,-57.27642739592813,-1.1049472106158509,,,,,,
PB.161541.3,Patient11,4,3,2226,1367,1796.9451931716083,2194.5866861741038,19.0,19.0,novelGene_SRSF6_AS,5,6,0.8,0.5,3477.6439671385456,3209.7600535560427,-0.5236213130962601,-34.49505318722741,-0.31269565521685927,,,,,,
PB.161541.3,Patient12,1,0,2004,1791,499.00199600798396,0.0,28.0,30.0,novelGene_SRSF6_AS,4,2,0.25,0.0,3477.6439671385456,3209.7600535560427,-0.9279952150412524,-55.87318675113807,-1.0561477144463258,,,,,,
PB.161541.3,Patient13,1,1,2495,2218,400.80160320641284,450.8566275924256,30.0,28.0,novelGene_SRSF6_AS,3,2,0.3333333333333333,0.5,3477.6439671385456,3209.7600535560427,-0.9585895246354467,-59.52567309933643,-1.1831676195637515,,,,,,
PB.161541.3,Patient14,5,6,1161,1708,4306.632213608958,3512.88056206089,10.0,15.0,novelGene_SRSF6_AS,9,6,0.5555555555555556,1.0,3477.6439671385456,3209.7600535560427,0.25827109585714664,-19.7823199783568,0.22927385757982355,,,,,,
PB.161541.3,Patient15,2,13,1376,2573,1453.4883720930231,5052.467936261173,22.0,10.0,novelGene_SRSF6_AS,6,15,0.3333333333333333,0.8666666666666667,3477.6439671385456,3209.7600535560427,-0.6306252060190581,-38.03623119862115,-0.4358446699237909,,,,,,
PB.161541.3,Patient16,3,2,1395,1271,2150.537634408602,1573.5641227380015,18.0,22.0,novelGene_SRSF6_AS,3,3,1.0,0.6666666666666666,3477.6439671385456,3209.7600535560427,-0.41345967006464024,-31.495966554211332,-0.2083985646192317,,,,,,
PB.161541.3,Patient17,6,8,975,1227,6153.846153846154,6519.967400162999,4.0,7.0,novelGene_SRSF6_AS,9,14,0.6666666666666666,0.5714285714285714,3477.6439671385456,3209.7600535560427,0.8337701703722951,-13.856465222510538,0.43535306967558357,,,,,,
PB.161541.3,Patient18,9,10,988,1387,9109.311740890687,7209.805335255947,3.0,6.0,novelGene_SRSF6_AS,21,12,0.42857142857142855,0.8333333333333334,3477.6439671385456,3209.7600535560427,1.7545447883286185,-7.344158448016304,0.6618269041362791,,,,,,
PB.161541.3,Patient19,6,21,1229,1548,4882.017900732303,13565.891472868218,8.0,2.0,novelGene_SRSF6_AS,6,22,1.0,0.9545454545454546,3477.6439671385456,3209.7600535560427,0.43753237318717136,-17.700348369372467,0.3016770949966611,,,,,,
PB.161541.3,Patient2,2,9,1277,1085,1566.1707126076742,8294.930875576038,21.0,5.0,novelGene_SRSF6_AS,3,9,0.6666666666666666,1.0,3477.6439671385456,3209.7600535560427,-0.5955190489747606,-36.78978452002993,-0.39249788536245167,,,,,,
PB.161541.3,Patient20,3,9,1888,1738,1588.9830508474577,5178.3659378596085,20.0,9.0,novelGene_SRSF6_AS,8,13,0.375,0.6923076923076923,3477.6439671385456,3209.7600535560427,-0.5884118702887682,-36.54838105688914,-0.38410276980006597,,,,,,
PB.161541.3,Patient21,4,8,1417,1328,2822.8652081863092,6024.096385542169,17.0,8.0,novelGene_SRSF6_AS,4,8,1.0,1.0,3477.6439671385456,3209.7600535560427,-0.2039961704386025,-26.953631870870055,-0.05043304045671216,,,,,,
PB.161541.3,Patient22,5,5,1221,2106,4095.0040950040952,2374.1690408357076,11.0,18.0,novelGene_SRSF6_AS,9,6,0.5555555555555556,0.8333333333333334,3477.6439671385456,3209.7600535560427,0.19233840460491308,-20.618869336913153,0.20018177891886293,,,,,,
PB.161541.3,Patient23,2,5,665,1159,3007.5187969924814,4314.063848144952,16.0,12.0,novelGene_SRSF6_AS,7,14,0.2857142857142857,0.35714285714285715,3477.6439671385456,3209.7600535560427,-0.1464673876868833,-25.796652241929376,0.009920139000068984,,,,,,
